"name","platform","day_only","variable","value"
"Caroline van der Plas
(BBB)","Twitter",2021-01-09,"Number of Messages",34
"Caroline van der Plas
(BBB)","Twitter",2021-01-10,"Number of Messages",21
"Caroline van der Plas
(BBB)","Twitter",2021-01-11,"Number of Messages",31
"Caroline van der Plas
(BBB)","Twitter",2021-01-12,"Number of Messages",38
"Caroline van der Plas
(BBB)","Twitter",2021-01-13,"Number of Messages",45
"Caroline van der Plas
(BBB)","Twitter",2021-01-14,"Number of Messages",9
"Caroline van der Plas
(BBB)","Twitter",2021-01-15,"Number of Messages",97
"Caroline van der Plas
(BBB)","Twitter",2021-01-16,"Number of Messages",24
"Caroline van der Plas
(BBB)","Twitter",2021-01-17,"Number of Messages",23
"Caroline van der Plas
(BBB)","Twitter",2021-01-18,"Number of Messages",40
"Caroline van der Plas
(BBB)","Twitter",2021-01-19,"Number of Messages",45
"Caroline van der Plas
(BBB)","Twitter",2021-01-20,"Number of Messages",71
"Caroline van der Plas
(BBB)","Twitter",2021-01-21,"Number of Messages",73
"Caroline van der Plas
(BBB)","Twitter",2021-01-22,"Number of Messages",68
"Caroline van der Plas
(BBB)","Twitter",2021-01-23,"Number of Messages",36
"Caroline van der Plas
(BBB)","Twitter",2021-01-24,"Number of Messages",39
"Caroline van der Plas
(BBB)","Twitter",2021-01-25,"Number of Messages",56
"Caroline van der Plas
(BBB)","Twitter",2021-01-26,"Number of Messages",88
"Caroline van der Plas
(BBB)","Twitter",2021-01-27,"Number of Messages",93
"Caroline van der Plas
(BBB)","Twitter",2021-01-28,"Number of Messages",55
"Caroline van der Plas
(BBB)","Twitter",2021-01-29,"Number of Messages",75
"Caroline van der Plas
(BBB)","Twitter",2021-01-30,"Number of Messages",62
"Caroline van der Plas
(BBB)","Twitter",2021-01-31,"Number of Messages",55
"Caroline van der Plas
(BBB)","Twitter",2021-02-01,"Number of Messages",43
"Caroline van der Plas
(BBB)","Twitter",2021-02-02,"Number of Messages",20
"Caroline van der Plas
(BBB)","Twitter",2021-02-03,"Number of Messages",68
"Caroline van der Plas
(BBB)","Twitter",2021-02-04,"Number of Messages",66
"Caroline van der Plas
(BBB)","Twitter",2021-02-05,"Number of Messages",58
"Caroline van der Plas
(BBB)","Twitter",2021-02-06,"Number of Messages",39
"Caroline van der Plas
(BBB)","Twitter",2021-02-07,"Number of Messages",40
"Caroline van der Plas
(BBB)","Twitter",2021-02-08,"Number of Messages",64
"Caroline van der Plas
(BBB)","Twitter",2021-02-09,"Number of Messages",48
"Caroline van der Plas
(BBB)","Twitter",2021-02-10,"Number of Messages",53
"Caroline van der Plas
(BBB)","Twitter",2021-02-11,"Number of Messages",47
"Caroline van der Plas
(BBB)","Twitter",2021-02-12,"Number of Messages",37
"Caroline van der Plas
(BBB)","Twitter",2021-02-13,"Number of Messages",43
"Caroline van der Plas
(BBB)","Twitter",2021-02-14,"Number of Messages",37
"Caroline van der Plas
(BBB)","Twitter",2021-02-15,"Number of Messages",55
"Caroline van der Plas
(BBB)","Twitter",2021-02-16,"Number of Messages",55
"Caroline van der Plas
(BBB)","Twitter",2021-02-17,"Number of Messages",29
"Caroline van der Plas
(BBB)","Twitter",2021-02-18,"Number of Messages",54
"Caroline van der Plas
(BBB)","Twitter",2021-02-19,"Number of Messages",63
"Caroline van der Plas
(BBB)","Twitter",2021-02-20,"Number of Messages",32
"Caroline van der Plas
(BBB)","Twitter",2021-02-21,"Number of Messages",30
"Caroline van der Plas
(BBB)","Twitter",2021-02-22,"Number of Messages",57
"Caroline van der Plas
(BBB)","Twitter",2021-02-23,"Number of Messages",80
"Caroline van der Plas
(BBB)","Twitter",2021-02-24,"Number of Messages",13
"Caroline van der Plas
(BBB)","Twitter",2021-02-25,"Number of Messages",53
"Caroline van der Plas
(BBB)","Twitter",2021-02-26,"Number of Messages",29
"Caroline van der Plas
(BBB)","Twitter",2021-02-27,"Number of Messages",50
"Caroline van der Plas
(BBB)","Twitter",2021-02-28,"Number of Messages",57
"Caroline van der Plas
(BBB)","Twitter",2021-03-01,"Number of Messages",59
"Caroline van der Plas
(BBB)","Twitter",2021-03-02,"Number of Messages",42
"Caroline van der Plas
(BBB)","Twitter",2021-03-03,"Number of Messages",35
"Caroline van der Plas
(BBB)","Twitter",2021-03-04,"Number of Messages",44
"Caroline van der Plas
(BBB)","Twitter",2021-03-05,"Number of Messages",40
"Caroline van der Plas
(BBB)","Twitter",2021-03-06,"Number of Messages",26
"Caroline van der Plas
(BBB)","Twitter",2021-03-07,"Number of Messages",65
"Caroline van der Plas
(BBB)","Twitter",2021-03-08,"Number of Messages",42
"Caroline van der Plas
(BBB)","Twitter",2021-03-09,"Number of Messages",95
"Caroline van der Plas
(BBB)","Twitter",2021-03-10,"Number of Messages",69
"Caroline van der Plas
(BBB)","Twitter",2021-03-11,"Number of Messages",78
"Caroline van der Plas
(BBB)","Twitter",2021-03-12,"Number of Messages",60
"Caroline van der Plas
(BBB)","Twitter",2021-03-13,"Number of Messages",74
"Caroline van der Plas
(BBB)","Twitter",2021-03-14,"Number of Messages",60
"Caroline van der Plas
(BBB)","Twitter",2021-03-15,"Number of Messages",107
"Caroline van der Plas
(BBB)","Twitter",2021-03-16,"Number of Messages",99
"Caroline van der Plas
(BBB)","Twitter",2021-03-17,"Number of Messages",137
