iisID,A2_1,A2_0
690,D66,Weet niet
242,PVV,Weet niet
968,CDA,Weet niet
325,PvdA,PvdA
331,CU,SP
1334,D66,Andere
803,Weet niet,Weet niet
681,PVV,VVD
820,Weet niet,Weet niet
426,GL,Weet niet
285,CU,Weet niet
995,Weet niet,Weet niet
784,Andere,Weet niet
828,FvD,Weet niet
193,VVD,SP
491,PvdA,PvdA
175,VVD,Weet niet
481,CDA,Weet niet
1021,PvdA,CDA
1248,PvD,Weet niet
283,VVD,Weet niet
277,PVV,Weet niet
910,VVD,Weet niet
884,SP,Weet niet
1279,Weet niet,Weet niet
388,Weet niet,VVD
1172,D66,SP
188,Weet niet,PVV
706,CU,CDA
376,SP,VVD
897,Weet niet,Weet niet
443,CU,VVD
725,Denk,Weet niet
300,VVD,VVD
697,PvdA,VVD
1080,VVD,Weet niet
694,PVV,SP
413,D66,Weet niet
1106,VVD,50Plus
233,CDA,Weet niet
485,PvD,SP
533,Weet niet,CDA
532,PvdA,CDA
499,PVV,Weet niet
585,VVD,Weet niet
598,PVV,50Plus
713,Weet niet,VVD
239,PVV,VVD
1153,GL,Weet niet
936,VVD,PvdA
978,D66,Weet niet
456,Weet niet,Weet niet
184,Weet niet,Weet niet
994,CU,Weet niet
1016,PvD,Weet niet
899,Denk,Weet niet
1095,PvD,Weet niet
1168,VVD,VVD
273,D66,VVD
385,Weet niet,Weet niet
1159,CDA,FvD
539,Weet niet,Weet niet
505,VVD,SGP
877,Weet niet,Weet niet
728,PvD,CU
442,SP,Weet niet
1031,FvD,Weet niet
211,VVD,PvdA
231,VVD,D66
436,VVD,PVV
1134,PVV,Weet niet
403,Weet niet,SP
1036,PvdA,VVD
597,D66,Weet niet
374,CDA,Weet niet
375,SGP,VVD
869,Weet niet,Weet niet
842,GL,PVV
520,CDA,Weet niet
470,Weet niet,VVD
399,50Plus,Weet niet
603,PvdA,Weet niet
930,VVD,Weet niet
943,VVD,Weet niet
515,VVD,Weet niet
724,VVD,Weet niet
628,PVV,Weet niet
602,PvdA,Weet niet
843,Weet niet,Weet niet
1312,D66,Weet niet
1072,VVD,Weet niet
367,GL,Weet niet
391,GL,CDA
748,PvdA,Weet niet
229,D66,Weet niet
280,Weet niet,Weet niet
203,VVD,Weet niet
296,Weet niet,CDA
1020,VVD,Weet niet
563,PVV,Weet niet
973,PvdA,CU
593,Blanco,GL
928,VVD,Weet niet
621,PvdA,Weet niet
610,Weet niet,CU
1250,SP,Weet niet
352,CU,VVD
709,PvdA,Weet niet
181,PVV,Weet niet
595,Weet niet,VVD
248,Weet niet,Weet niet
272,Weet niet,Weet niet
282,D66,VVD
955,PVV,Weet niet
1344,Andere,Weet niet
180,D66,Weet niet
258,VVD,CU
516,VVD,CU
850,VVD,VVD
1089,GL,Weet niet
1232,SP,GL
918,PVV,PvdA
834,D66,Weet niet
220,VVD,Weet niet
1069,PVV,Weet niet
990,Weet niet,Weet niet
1121,Blanco,Weet niet
1119,PvdA,PvdA
1456,PvdA,Weet niet
410,GL,VVD
219,VVD,PvD
310,CDA,Weet niet
473,PvdA,Weet niet
508,PVV,Weet niet
950,Weet niet,Weet niet
1133,VVD,Weet niet
854,PVV,Weet niet
576,VVD,Weet niet
460,GL,PVV
966,PvdA,Weet niet
482,Denk,Weet niet
1014,D66,Weet niet
1363,Weet niet,Weet niet
1282,GL,Weet niet
1304,PVV,D66
743,SP,Weet niet
587,CDA,Weet niet
1223,Weet niet,SGP
566,D66,GL
476,CDA,PVV
555,CU,SP
778,CU,Weet niet
183,VVD,CDA
1096,SP,Weet niet
993,Weet niet,VVD
397,CDA,PVV
560,PVV,PvD
1008,VVD,CU
1081,CDA,Weet niet
1337,CDA,Weet niet
355,PvD,Weet niet
1437,PVV,PVV
334,PVV,Weet niet
677,Weet niet,Weet niet
1197,CDA,Weet niet
624,Weet niet,CDA
1188,PvdA,FvD
251,Andere,Weet niet
826,GL,Weet niet
465,CDA,SP
855,Andere,Weet niet
1176,CU,Weet niet
218,PVV,Weet niet
292,D66,SP
983,GL,Weet niet
1426,CU,Weet niet
521,Weet niet,Weet niet
1205,Weet niet,Weet niet
1102,Denk,Weet niet
746,VVD,Weet niet
407,SP,SGP
360,SP,VVD
1029,Weet niet,Weet niet
1064,PVV,Weet niet
1113,GL,Weet niet
685,Weet niet,SP
626,Weet niet,Weet niet
618,VVD,CU
671,CDA,PVV
1045,SP,VVD
781,SP,VVD
1065,Weet niet,Weet niet
787,FvD,Weet niet
663,PVV,Weet niet
1043,Weet niet,Weet niet
1054,Weet niet,Weet niet
745,CU,Weet niet
832,Weet niet,SP
316,GL,PVV
927,VVD,Weet niet
358,Weet niet,PvdA
472,Weet niet,Weet niet
654,Weet niet,Weet niet
1343,VVD,Weet niet
241,PVV,D66
287,VVD,VVD
448,VVD,50Plus
221,CDA,PvD
1427,CDA,PVV
411,VVD,VVD
240,PvdA,Weet niet
471,FvD,Weet niet
1298,Weet niet,Weet niet
692,PVV,Weet niet
1201,SP,Weet niet
711,PVV,D66
299,GL,Weet niet
881,VVD,Weet niet
652,CU,PvdA
414,SP,Weet niet
433,Weet niet,Weet niet
176,CU,Weet niet
611,SP,Weet niet
418,Weet niet,SP
330,VVD,GL
462,VVD,Weet niet
1435,SP,Weet niet
823,Weet niet,Andere
675,Weet niet,Weet niet
307,CU,Weet niet
921,SGP,Weet niet
570,SP,Weet niet
1440,CDA,50Plus
986,PvdA,PVV
189,PvdA,VVD
934,Weet niet,Weet niet
979,Weet niet,Weet niet
174,Blanco,FvD
940,GL,Weet niet
1340,PVV,Weet niet
975,CU,SP
1027,PVV,Weet niet
1145,Weet niet,VVD
214,PvdA,PVV
1225,Blanco,Weet niet
1052,VVD,Weet niet
1364,SP,Weet niet
804,Andere,Weet niet
878,D66,FvD
263,VVD,FvD
1062,GL,Weet niet
1044,SP,Weet niet
1177,Weet niet,VVD
329,PvdA,PvD
1091,VVD,Weet niet
409,Weet niet,CU
648,VVD,VVD
199,SP,Weet niet
577,PvdA,Weet niet
732,SP,Weet niet
920,SP,Blanco
816,PVV,VVD
586,VVD,SP
484,SP,Weet niet
845,GL,Weet niet
528,FvD,Weet niet
1234,Weet niet,PVV
1259,Blanco,Weet niet
574,CDA,Weet niet
672,VVD,PVV
1085,Weet niet,Weet niet
662,Weet niet,PVV
969,PVV,VVD
205,SP,VVD
737,D66,Weet niet
947,VVD,VVD
1122,PVV,Weet niet
831,PVV,Weet niet
1211,VVD,Weet niet
747,SP,FvD
1204,PvdA,PVV
970,Weet niet,Weet niet
985,CDA,Weet niet
350,VVD,Weet niet
1125,PVV,VVD
495,Weet niet,Weet niet
924,CDA,Weet niet
178,VVD,VVD
496,SP,Weet niet
474,CDA,VVD
547,CDA,PVV
342,D66,Weet niet
527,PVV,Weet niet
546,CU,SP
550,VVD,GL
702,Weet niet,SP
659,CDA,D66
308,VVD,Weet niet
650,VVD,Weet niet
698,CDA,Weet niet
455,PVV,SGP
1296,SP,VVD
381,PVV,Weet niet
542,CDA,PVV
755,GL,D66
865,VVD,Weet niet
856,CDA,CU
691,SP,VVD
718,50Plus,CDA
353,PVV,CU
655,CDA,Weet niet
645,Weet niet,Weet niet
1017,PvdA,Weet niet
276,CDA,Weet niet
699,CDA,GL
425,VVD,Weet niet
567,PVV,Weet niet
338,CDA,Weet niet
223,VVD,Weet niet
384,CU,PvD
404,PVV,Weet niet
1161,Weet niet,PvD
529,GL,Weet niet
1092,VVD,PVV
238,PvdA,Weet niet
873,FvD,FvD
200,SP,Weet niet
185,CU,Weet niet
298,VVD,Weet niet
396,CU,GL
337,VVD,Andere
1018,GL,Weet niet
971,Weet niet,SP
431,Weet niet,Weet niet
1144,Weet niet,Weet niet
1138,PVV,Weet niet
422,Weet niet,VVD
302,Weet niet,Weet niet
1175,CU,Weet niet
466,PvD,Weet niet
271,GL,Weet niet
961,PvdA,Weet niet
1150,SGP,Weet niet
893,PVV,Weet niet
279,Weet niet,GL
297,CU,Weet niet
522,VVD,PVV
780,PvdA,Weet niet
1431,Weet niet,VVD
809,GL,Weet niet
857,CU,PvdA
402,Weet niet,Weet niet
1222,PVV,Weet niet
217,SP,Weet niet
137,Weet niet,PVV
948,VVD,Weet niet
1382,CDA,Weet niet
988,GL,GL
984,PvdA,Weet niet
1278,CDA,Weet niet
290,Weet niet,Weet niet
629,CU,CDA
1488,PVV,Weet niet
1210,Weet niet,Weet niet
705,GL,Weet niet
295,CDA,VVD
468,PVV,Weet niet
365,PvdA,Andere
1356,PvdA,SGP
1245,CU,Weet niet
1253,PvdA,VVD
1420,Weet niet,Weet niet
982,VVD,Weet niet
1414,Weet niet,Weet niet
31,VVD,VVD
161,Weet niet,Weet niet
656,VVD,Weet niet
259,Weet niet,Weet niet
1376,SP,PvdA
451,PvdA,VVD
234,Weet niet,PvdA
224,PVV,CDA
1048,Weet niet,Weet niet
564,PVV,Weet niet
951,D66,VVD
1448,GL,Weet niet
1002,GL,Weet niet
1224,SP,VVD
1217,Blanco,Weet niet
1264,VVD,D66
1471,PvdA,Weet niet
441,CDA,PvdA
1372,VVD,Weet niet
752,Weet niet,PvD
512,PvdA,Weet niet
764,VVD,FvD
255,PvdA,Weet niet
549,Weet niet,Weet niet
641,PVV,Weet niet
1001,CU,Weet niet
543,VVD,PvD
526,VVD,Weet niet
887,PvD,Weet niet
554,VVD,Weet niet
1439,50Plus,PVV
389,VVD,CDA
364,SP,Weet niet
243,Weet niet,VVD
775,PVV,Weet niet
811,Weet niet,VVD
919,SP,Weet niet
1330,Weet niet,Weet niet
1110,VVD,GL
230,CU,VVD
412,Weet niet,Weet niet
1380,SP,Weet niet
1128,VVD,Weet niet
1424,PVV,VVD
783,VVD,Weet niet
1379,PVV,Weet niet
362,PvdA,Weet niet
1241,Weet niet,Weet niet
753,PVV,GL
944,VVD,Weet niet
888,VVD,Weet niet
359,Weet niet,CDA
236,SGP,VVD
335,VVD,VVD
1226,PvD,CDA
981,Andere,Weet niet
1079,VVD,Weet niet
447,VVD,Weet niet
777,Weet niet,Weet niet
1423,Weet niet,Weet niet
270,VVD,PvdA
386,PVV,Weet niet
870,PVV,Weet niet
794,PvdA,Weet niet
768,PVV,PvD
789,VVD,Weet niet
319,CU,PVV
561,Weet niet,Weet niet
314,Weet niet,PVV
154,PvdA,Andere
1164,GL,Weet niet
405,PvD,Weet niet
340,SGP,Weet niet
956,VVD,SP
322,CU,PVV
1310,GL,FvD
95,SGP,Weet niet
1078,FvD,PVV
1460,GL,VVD
812,Blanco,Weet niet
1178,PvdA,GL
846,PvdA,Weet niet
680,SP,Weet niet
1280,VVD,Weet niet
269,CDA,SP
326,VVD,Weet niet
730,Weet niet,Weet niet
736,Weet niet,Weet niet
540,Weet niet,CDA
750,Weet niet,Weet niet
741,PvdA,PVV
1212,VVD,CU
86,PVV,VVD
814,50Plus,Weet niet
535,PvdA,Weet niet
634,PvdA,Weet niet
760,VVD,VVD
22,VVD,Weet niet
383,PVV,Weet niet
449,CU,VVD
1015,VVD,Weet niet
346,CDA,VVD
1136,VVD,Weet niet
684,D66,FvD
1049,PVV,Weet niet
121,VVD,VVD
875,PvD,Weet niet
288,Weet niet,Weet niet
771,Weet niet,Weet niet
1041,Weet niet,Weet niet
159,PvdA,SP
643,D66,Weet niet
876,D66,Weet niet
244,Weet niet,VVD
378,SP,CDA
891,VVD,Weet niet
105,PvdA,PvD
192,CU,Weet niet
424,PvdA,PVV
318,VVD,PvdA
21,Weet niet,SP
19,SP,Weet niet
689,PVV,VVD
608,Blanco,Weet niet
996,PvdA,Weet niet
590,VVD,CU
693,PVV,FvD
722,SP,Weet niet
510,GL,Weet niet
125,VVD,SP
908,Weet niet,CDA
916,Weet niet,Weet niet
400,D66,Weet niet
160,D66,Weet niet
1116,VVD,Weet niet
1087,CDA,Weet niet
421,PvD,Weet niet
1012,PvdA,Weet niet
457,Weet niet,D66
1170,PvdA,VVD
1459,VVD,Weet niet
1104,GL,D66
962,PvdA,PvdA
1417,SP,PVV
392,Weet niet,Weet niet
370,Weet niet,SP
896,GL,Weet niet
420,SP,GL
952,VVD,VVD
523,VVD,Weet niet
177,SP,SP
1181,CDA,PVV
1367,VVD,VVD
207,PvdA,Weet niet
941,Weet niet,Weet niet
195,GL,Weet niet
151,Blanco,Weet niet
1047,VVD,GL
348,SP,CDA
446,GL,Weet niet
863,CDA,CDA
825,SGP,Weet niet
800,PvdA,VVD
332,PVV,Weet niet
327,PVV,Weet niet
1162,Weet niet,D66
1042,Weet niet,Blanco
1035,SP,Weet niet
1123,Weet niet,Weet niet
463,CU,Weet niet
1026,VVD,VVD
