feature,frequency,rank,docfreq,group
ab,4,114,1,F_azarkan
coronacrisis,3,182,1,F_azarkan
ga,3,182,1,F_azarkan
https,3,182,1,F_azarkan
gesprek,3,182,1,F_azarkan
hoor,3,182,1,F_azarkan
helaas,3,182,1,F_azarkan
bestrijden,3,182,1,F_azarkan
@talithamuusse,3,182,1,F_azarkan
hoop,3,182,1,F_azarkan
el,3,182,1,F_azarkan
#toeslagenschandaal,3,182,1,F_azarkan
pvda,3,182,1,F_azarkan
renske,3,182,1,F_azarkan
pieter,3,182,1,F_azarkan
hard,3,182,1,F_azarkan
jullie,3,182,1,F_azarkan
vind,3,182,1,F_azarkan
@avhuffelen,3,182,1,F_azarkan
@enisodaci,3,182,1,F_azarkan
krijgt,3,182,1,F_azarkan
juiste,3,182,1,F_azarkan
vragen,3,182,1,F_azarkan
@lamyaea,3,182,1,F_azarkan
2020,3,182,1,F_azarkan
ingediend,3,182,1,F_azarkan
gedupeerden,3,182,1,F_azarkan
iii,3,182,1,F_azarkan
b,3,182,1,F_azarkan
2021,3,182,1,F_azarkan
belangrijk,3,182,1,F_azarkan
moeten,3,182,1,F_azarkan
moria,3,182,1,F_azarkan
belofte,3,182,1,F_azarkan
islam,3,182,1,F_azarkan
nee,3,182,1,F_azarkan
afkomst,3,182,1,F_azarkan
buitenland,3,182,1,F_azarkan
taal,3,182,1,F_azarkan
berichten,3,182,1,F_azarkan
slachtoffer,3,182,1,F_azarkan
vanwege,3,182,1,F_azarkan
horen,3,182,1,F_azarkan
gezien,3,182,1,F_azarkan
heel,3,182,1,F_azarkan
man,3,182,1,F_azarkan
@nieuwsuur,3,182,1,F_azarkan
@renskeleijten,3,182,1,F_azarkan
@pieterklein,3,182,1,F_azarkan
@jantrouw,3,182,1,F_azarkan
vergeten,3,182,1,F_azarkan
institutioneel,3,182,1,F_azarkan
@s_y_khan,3,182,1,F_azarkan
peiling,3,182,1,F_azarkan
👀,3,182,1,F_azarkan
the,3,182,1,F_azarkan
dood,3,182,1,F_azarkan
terwijl,3,182,1,F_azarkan
@mahmutsungur,3,182,1,F_azarkan
roma,3,182,1,F_azarkan
@sheilasitalsing,3,182,1,F_azarkan
goede,3,182,1,F_azarkan
geval,3,182,1,F_azarkan
breed,3,182,1,F_azarkan
informatie,3,182,1,F_azarkan
grote,3,182,1,F_azarkan
leiding,3,182,1,F_azarkan
macht,3,182,1,F_azarkan
privacy,3,182,1,F_azarkan
maken,3,182,1,F_azarkan
vijf,3,182,1,F_azarkan
moties,3,182,1,F_azarkan
regels,3,182,1,F_azarkan
@suleymankoyuncu,3,182,1,F_azarkan
@denk_nh,3,182,1,F_azarkan
brede,3,182,1,F_azarkan
doorlichting,3,182,1,F_azarkan
jonge,3,182,1,F_azarkan
nodig,3,182,1,F_azarkan
✅,3,182,1,F_azarkan
vertrouwen,3,182,1,F_azarkan
rechtsstaat,3,182,1,F_azarkan
bent,3,182,1,F_azarkan
hou,3,182,1,F_azarkan
basis,3,182,1,F_azarkan
kwetsbare,3,182,1,F_azarkan
nieuwe,3,182,1,F_azarkan
kandidaat,3,182,1,F_azarkan
kamerlid,3,182,1,F_azarkan
twee,3,182,1,F_azarkan
alex,3,182,1,F_azarkan
vanuit,3,182,1,F_azarkan
#amsterdam,3,182,1,F_azarkan
#avondklok,3,182,1,F_azarkan
staat,3,182,1,F_azarkan
oproep,3,182,1,F_azarkan
maak,3,182,1,F_azarkan
haagse,3,182,1,F_azarkan
collega,3,182,1,F_azarkan
commissie,3,182,1,F_azarkan
regering,3,182,1,F_azarkan
voorstel,3,182,1,F_azarkan
onrecht,3,182,1,F_azarkan
nieuws,3,182,1,F_azarkan
week,3,182,1,F_azarkan
straks,3,182,1,F_azarkan
heerlijk,3,182,1,F_azarkan
komt,3,182,1,F_azarkan
verdient,3,182,1,F_azarkan
@wbhoekstra,3,182,1,F_azarkan
snel,3,182,1,F_azarkan
vraagt,3,182,1,F_azarkan
transvaal,3,182,1,F_azarkan
alsof,3,182,1,F_azarkan
waaronder,3,182,1,F_azarkan
m,3,182,1,F_azarkan
moslims,3,182,1,F_azarkan
❌,3,182,1,F_azarkan
slachtoffers,3,182,1,F_azarkan
i,3,182,1,F_azarkan
eerste,3,182,1,F_azarkan
minister,3,182,1,F_azarkan
avondklok,3,182,1,F_azarkan
verhuurmakelaars,3,182,1,F_azarkan
bereid,3,182,1,F_azarkan
richting,3,182,1,F_azarkan
laten,3,182,1,F_azarkan
on,3,182,1,F_azarkan
tour,3,182,1,F_azarkan
tussen,3,182,1,F_azarkan
@vvd,2,311,1,F_azarkan
brief,2,311,1,F_azarkan
graag,2,311,1,F_azarkan
@geertwilderspvv,2,311,1,F_azarkan
geloof,2,311,1,F_azarkan
woorden,2,311,1,F_azarkan
check,2,311,1,F_azarkan
vader,2,311,1,F_azarkan
moeder,2,311,1,F_azarkan
sterkte,2,311,1,F_azarkan
erg,2,311,1,F_azarkan
blijf,2,311,1,F_azarkan
erover,2,311,1,F_azarkan
corona,2,311,1,F_azarkan
zie,2,311,1,F_azarkan
sp,2,311,1,F_azarkan
bekend,2,311,1,F_azarkan
elke,2,311,1,F_azarkan
per,2,311,1,F_azarkan
debat,2,311,1,F_azarkan
kamerleden,2,311,1,F_azarkan
betrokken,2,311,1,F_azarkan
toon,2,311,1,F_azarkan
nou,2,311,1,F_azarkan
maanden,2,311,1,F_azarkan
luisteren,2,311,1,F_azarkan
onrechtmatig,2,311,1,F_azarkan
toeslagen,2,311,1,F_azarkan
stelt,2,311,1,F_azarkan
vindt,2,311,1,F_azarkan
wijze,2,311,1,F_azarkan
waarop,2,311,1,F_azarkan
@bnr,2,311,1,F_azarkan
#belastingdienst,2,311,1,F_azarkan
schulden,2,311,1,F_azarkan
gevallen,2,311,1,F_azarkan
21,2,311,1,F_azarkan
misstanden,2,311,1,F_azarkan
behandeling,2,311,1,F_azarkan
nrc,2,311,1,F_azarkan
kind,2,311,1,F_azarkan
gehaald,2,311,1,F_azarkan
verlies,2,311,1,F_azarkan
gehad,2,311,1,F_azarkan
maakte,2,311,1,F_azarkan
heen,2,311,1,F_azarkan
situatie,2,311,1,F_azarkan
duidelijke,2,311,1,F_azarkan
daarmee,2,311,1,F_azarkan
leven,2,311,1,F_azarkan
verhaal,2,311,1,F_azarkan
wachten,2,311,1,F_azarkan
zullen,2,311,1,F_azarkan
blijven,2,311,1,F_azarkan
vraag,2,311,1,F_azarkan
vrouw,2,311,1,F_azarkan
val,2,311,1,F_azarkan
#kabinet,2,311,1,F_azarkan
rol,2,311,1,F_azarkan
aangifte,2,311,1,F_azarkan
gedaan,2,311,1,F_azarkan
da,2,311,1,F_azarkan
gedupeerde,2,311,1,F_azarkan
onacceptabel,2,311,1,F_azarkan
gebeurt,2,311,1,F_azarkan
einde,2,311,1,F_azarkan
eigen,2,311,1,F_azarkan
grootste,2,311,1,F_azarkan
misschien,2,311,1,F_azarkan
mooi,2,311,1,F_azarkan
@d66,2,311,1,F_azarkan
miljoenen,2,311,1,F_azarkan
@ericchrsmit,2,311,1,F_azarkan
geert,2,311,1,F_azarkan
betaalde,2,311,1,F_azarkan
v,2,311,1,F_azarkan
utrechtse,2,311,1,F_azarkan
burgemeester,2,311,1,F_azarkan
zeer,2,311,1,F_azarkan
vier,2,311,1,F_azarkan
@volkskrant,2,311,1,F_azarkan
blijft,2,311,1,F_azarkan
doorgaan,2,311,1,F_azarkan
jaren,2,311,1,F_azarkan
open,2,311,1,F_azarkan
staatssecretaris,2,311,1,F_azarkan
wanneer,2,311,1,F_azarkan
uur,2,311,1,F_azarkan
groep,2,311,1,F_azarkan
#avondklokrellen,2,311,1,F_azarkan
facebook,2,311,1,F_azarkan
gevaar,2,311,1,F_azarkan
brengen,2,311,1,F_azarkan
kun,2,311,1,F_azarkan
strijd,2,311,1,F_azarkan
zojuist,2,311,1,F_azarkan
februari,2,311,1,F_azarkan
zitten,2,311,1,F_azarkan
tienduizenden,2,311,1,F_azarkan
turkse,2,311,1,F_azarkan
marokkaanse,2,311,1,F_azarkan
kapotgemaakt,2,311,1,F_azarkan
risico's,2,311,1,F_azarkan
steken,2,311,1,F_azarkan
nummer,2,311,1,F_azarkan
landelijke,2,311,1,F_azarkan
lijst,2,311,1,F_azarkan
vanochtend,2,311,1,F_azarkan
gegaan,2,311,1,F_azarkan
gesproken,2,311,1,F_azarkan
net,2,311,1,F_azarkan
rellen,2,311,1,F_azarkan
miljoen,2,311,1,F_azarkan
recht,2,311,1,F_azarkan
blijkt,2,311,1,F_azarkan
journalisten,2,311,1,F_azarkan
h,2,311,1,F_azarkan
huis,2,311,1,F_azarkan
agenten,2,311,1,F_azarkan
hadden,2,311,1,F_azarkan
boven,2,311,1,F_azarkan
baudet,2,311,1,F_azarkan
@2ekamertweets,2,311,1,F_azarkan
welke,2,311,1,F_azarkan
wilde,2,311,1,F_azarkan
geven,2,311,1,F_azarkan
ambtenaren,2,311,1,F_azarkan
binnen,2,311,1,F_azarkan
zeggen,2,311,1,F_azarkan
nederlandse,2,311,1,F_azarkan
lange,2,311,1,F_azarkan
tafel,2,311,1,F_azarkan
4,2,311,1,F_azarkan
leger,2,311,1,F_azarkan
inzetten,2,311,1,F_azarkan
straat,2,311,1,F_azarkan
nos,2,311,1,F_azarkan
boodschap,2,311,1,F_azarkan
z'n,2,311,1,F_azarkan
lijsttrekker,2,311,1,F_azarkan
trappen,2,311,1,F_azarkan
werk,2,311,1,F_azarkan
moeilijke,2,311,1,F_azarkan
mens,2,311,1,F_azarkan
respect,2,311,1,F_azarkan
wakker,2,311,1,F_azarkan
hebt,2,311,1,F_azarkan
fan,2,311,1,F_azarkan
doe,2,311,1,F_azarkan
zin,2,311,1,F_azarkan
verschil,2,311,1,F_azarkan
centraal,2,311,1,F_azarkan
markt,2,311,1,F_azarkan
zegt,2,311,1,F_azarkan
vrijheid,2,311,1,F_azarkan
beperkt,2,311,1,F_azarkan
ligt,2,311,1,F_azarkan
oplossen,2,311,1,F_azarkan
allemaal,2,311,1,F_azarkan
mis,2,311,1,F_azarkan
duizenden,2,311,1,F_azarkan
betekent,2,311,1,F_azarkan
leren,2,311,1,F_azarkan
drie,2,311,1,F_azarkan
gasten,2,311,1,F_azarkan
vorige,2,311,1,F_azarkan
veld,2,311,1,F_azarkan
o.a,2,311,1,F_azarkan
vervolgens,2,311,1,F_azarkan
blij,2,311,1,F_azarkan
reactie,2,311,1,F_azarkan
kader,2,311,1,F_azarkan
#enschede,2,311,1,F_azarkan
afstand,2,311,1,F_azarkan
beste,2,311,1,F_azarkan
schilderswijk,2,311,1,F_azarkan
politici,2,311,1,F_azarkan
precies,2,311,1,F_azarkan
zit,2,311,1,F_azarkan
sgp,2,311,1,F_azarkan
regeling,2,311,1,F_azarkan
vanmiddag,2,311,1,F_azarkan
😃,2,311,1,F_azarkan
echte,2,311,1,F_azarkan
nieuw,2,311,1,F_azarkan
verkeerd,2,311,1,F_azarkan
spreekt,2,311,1,F_azarkan
nl,2,311,1,F_azarkan
@jinek_rtl,2,311,1,F_azarkan
namelijk,2,311,1,F_azarkan
beleid,2,311,1,F_azarkan
overheden,2,311,1,F_azarkan
weigert,2,311,1,F_azarkan
uitleg,2,311,1,F_azarkan
lijkt,2,311,1,F_azarkan
aanpassen,2,311,1,F_azarkan
fouten,2,311,1,F_azarkan
niemand,2,311,1,F_azarkan
zeker,2,311,1,F_azarkan
@myrthehilkens,2,311,1,F_azarkan
duurt,2,311,1,F_azarkan
binnenhof,2,311,1,F_azarkan
gemeente,2,311,1,F_azarkan
@trouw,2,311,1,F_azarkan
racistisch,2,311,1,F_azarkan
@thierrybaudet,2,311,1,F_azarkan
#baudet,2,311,1,F_azarkan
helft,2,311,1,F_azarkan
lang,2,311,1,F_azarkan
a,2,311,1,F_azarkan
@tijdvoormax,2,311,1,F_azarkan
verloren,2,311,1,F_azarkan
dinsdag,2,311,1,F_azarkan
zouden,2,311,1,F_azarkan
doet,2,311,1,F_azarkan
namens,2,311,1,F_azarkan
heftig,2,311,1,F_azarkan
beter,2,311,1,F_azarkan
zwaar,2,311,1,F_azarkan
deed,2,311,1,F_azarkan
ging,2,311,1,F_azarkan
vinden,2,311,1,F_azarkan
plaatsen,2,311,1,F_azarkan
#avondklokdebat,2,311,1,F_azarkan
verder,1,535,1,F_azarkan
lees,1,535,1,F_azarkan
helder,1,535,1,F_azarkan
collega's,1,535,1,F_azarkan
soms,1,535,1,F_azarkan
hetze,1,535,1,F_azarkan
vechten,1,535,1,F_azarkan
ramp,1,535,1,F_azarkan
problemen,1,535,1,F_azarkan
rutte-doctrine,1,535,1,F_azarkan
gaf,1,535,1,F_azarkan
resultaat,1,535,1,F_azarkan
cda,1,535,1,F_azarkan
@frankvdlinde,1,535,1,F_azarkan
vast,1,535,1,F_azarkan
gisteren,1,535,1,F_azarkan
dank,1,535,1,F_azarkan
wens,1,535,1,F_azarkan
debatten,1,535,1,F_azarkan
fijne,1,535,1,F_azarkan
vs,1,535,1,F_azarkan
boel,1,535,1,F_azarkan
artikel,1,535,1,F_azarkan
ellende,1,535,1,F_azarkan
context,1,535,1,F_azarkan
voorstellen,1,535,1,F_azarkan
risico,1,535,1,F_azarkan
@baspaternotte,1,535,1,F_azarkan
beeld,1,535,1,F_azarkan
ander,1,535,1,F_azarkan
erger,1,535,1,F_azarkan
#toeslagendebat,1,535,1,F_azarkan
schandalig,1,535,1,F_azarkan
zat,1,535,1,F_azarkan
verzet,1,535,1,F_azarkan
excuses,1,535,1,F_azarkan
manier,1,535,1,F_azarkan
27,1,535,1,F_azarkan
mei,1,535,1,F_azarkan
spel,1,535,1,F_azarkan
sorry,1,535,1,F_azarkan
burger,1,535,1,F_azarkan
klein,1,535,1,F_azarkan
gigantisch,1,535,1,F_azarkan
rondom,1,535,1,F_azarkan
kinderopvangtoeslag,1,535,1,F_azarkan
uitspreken,1,535,1,F_azarkan
geholpen,1,535,1,F_azarkan
hoort,1,535,1,F_azarkan
gebruiken,1,535,1,F_azarkan
pure,1,535,1,F_azarkan
g,1,535,1,F_azarkan
genomen,1,535,1,F_azarkan
stemden,1,535,1,F_azarkan
opgelost,1,535,1,F_azarkan
waarheid,1,535,1,F_azarkan
stap,1,535,1,F_azarkan
eerder,1,535,1,F_azarkan
doorpakken,1,535,1,F_azarkan
enkel,1,535,1,F_azarkan
lesbos,1,535,1,F_azarkan
momenten,1,535,1,F_azarkan
rollen,1,535,1,F_azarkan
hans,1,535,1,F_azarkan
mogen,1,535,1,F_azarkan
optrekken,1,535,1,F_azarkan
toegewenst,1,535,1,F_azarkan
nabestaanden,1,535,1,F_azarkan
opnemen,1,535,1,F_azarkan
bedoel,1,535,1,F_azarkan
onderdeel,1,535,1,F_azarkan
very,1,535,1,F_azarkan
10,1,535,1,F_azarkan
naam,1,535,1,F_azarkan
eruit,1,535,1,F_azarkan
zeg,1,535,1,F_azarkan
meest,1,535,1,F_azarkan
kwetsbaren,1,535,1,F_azarkan
@femkemerel,1,535,1,F_azarkan
óók,1,535,1,F_azarkan
kost,1,535,1,F_azarkan
gezond,1,535,1,F_azarkan
spreken,1,535,1,F_azarkan
moedwillig,1,535,1,F_azarkan
zorg,1,535,1,F_azarkan
vertelt,1,535,1,F_azarkan
compensatie,1,535,1,F_azarkan
hulp,1,535,1,F_azarkan
weet,1,535,1,F_azarkan
strijden,1,535,1,F_azarkan
ver,1,535,1,F_azarkan
genoeg,1,535,1,F_azarkan
premier,1,535,1,F_azarkan
leider,1,535,1,F_azarkan
gesteld,1,535,1,F_azarkan
niks,1,535,1,F_azarkan
schokkend,1,535,1,F_azarkan
ooit,1,535,1,F_azarkan
bezig,1,535,1,F_azarkan
30,1,535,1,F_azarkan
ouder,1,535,1,F_azarkan
schuld,1,535,1,F_azarkan
#racisme,1,535,1,F_azarkan
werkt,1,535,1,F_azarkan
ziet,1,535,1,F_azarkan
joodse,1,535,1,F_azarkan
volk,1,535,1,F_azarkan
begon,1,535,1,F_azarkan
zichtbaar,1,535,1,F_azarkan
krant,1,535,1,F_azarkan
duitsland,1,535,1,F_azarkan
stijgt,1,535,1,F_azarkan
only,1,535,1,F_azarkan
way,1,535,1,F_azarkan
up,1,535,1,F_azarkan
@christenunie,1,535,1,F_azarkan
handen,1,535,1,F_azarkan
welkom,1,535,1,F_azarkan
herdenking,1,535,1,F_azarkan
aangeboden,1,535,1,F_azarkan
onzin,1,535,1,F_azarkan
wist,1,535,1,F_azarkan
super,1,535,1,F_azarkan
vriend,1,535,1,F_azarkan
😉,1,535,1,F_azarkan
winst,1,535,1,F_azarkan
klaar,1,535,1,F_azarkan
openbaar,1,535,1,F_azarkan
76,1,535,1,F_azarkan
700,1,535,1,F_azarkan
were,1,535,1,F_azarkan
19.00,1,535,1,F_azarkan
💪,1,535,1,F_azarkan
winkel,1,535,1,F_azarkan
cruciaal,1,535,1,F_azarkan
parlement,1,535,1,F_azarkan
impact,1,535,1,F_azarkan
dichterbij,1,535,1,F_azarkan
roep,1,535,1,F_azarkan
rustig,1,535,1,F_azarkan
respecteren,1,535,1,F_azarkan
indienen,1,535,1,F_azarkan
ter,1,535,1,F_azarkan
verbinding,1,535,1,F_azarkan
vrijwilligers,1,535,1,F_azarkan
helpen,1,535,1,F_azarkan
opruimen,1,535,1,F_azarkan
hugo,1,535,1,F_azarkan
combinatie,1,535,1,F_azarkan
nare,1,535,1,F_azarkan
tweet,1,535,1,F_azarkan
onschuldig,1,535,1,F_azarkan
zaak,1,535,1,F_azarkan
hart,1,535,1,F_azarkan
mi,1,535,1,F_azarkan
geschiedenis,1,535,1,F_azarkan
dienen,1,535,1,F_azarkan
terug,1,535,1,F_azarkan
am,1,535,1,F_azarkan
direct,1,535,1,F_azarkan
groene,1,535,1,F_azarkan
boos,1,535,1,F_azarkan
geschokt,1,535,1,F_azarkan
prachtige,1,535,1,F_azarkan
wetenschappers,1,535,1,F_azarkan
geld,1,535,1,F_azarkan
henk,1,535,1,F_azarkan
ingrid,1,535,1,F_azarkan
urk,1,535,1,F_azarkan
ggd,1,535,1,F_azarkan
helemaal,1,535,1,F_azarkan
100,1,535,1,F_azarkan
gekeken,1,535,1,F_azarkan
aangepakt,1,535,1,F_azarkan
rechtsbescherming,1,535,1,F_azarkan
onderste,1,535,1,F_azarkan
steen,1,535,1,F_azarkan
sprak,1,535,1,F_azarkan
signalen,1,535,1,F_azarkan
gedeeld,1,535,1,F_azarkan
stond,1,535,1,F_azarkan
blijkbaar,1,535,1,F_azarkan
joden,1,535,1,F_azarkan
veranderen,1,535,1,F_azarkan
relschoppers,1,535,1,F_azarkan
toeslagenschandaal,1,535,1,F_azarkan
dacht,1,535,1,F_azarkan
stoppen,1,535,1,F_azarkan
aldus,1,535,1,F_azarkan
waarschijnlijk,1,535,1,F_azarkan
eigenlijk,1,535,1,F_azarkan
geworden,1,535,1,F_azarkan
periode,1,535,1,F_azarkan
waarbij,1,535,1,F_azarkan
lan,1,535,1,F_azarkan
ten,1,535,1,F_azarkan
bracht,1,535,1,F_azarkan
stad,1,535,1,F_azarkan
afschaffen,1,535,1,F_azarkan
boeken,1,535,1,F_azarkan
verbieden,1,535,1,F_azarkan
#campagne,1,535,1,F_azarkan
wijk,1,535,1,F_azarkan
❤,1,535,1,F_azarkan
keihard,1,535,1,F_azarkan
aanwezig,1,535,1,F_azarkan
vo,1,535,1,F_azarkan
verandering,1,535,1,F_azarkan
plekken,1,535,1,F_azarkan
starten,1,535,1,F_azarkan
begin,1,535,1,F_azarkan
enschede,1,535,1,F_azarkan
veiligheid,1,535,1,F_azarkan
haalt,1,535,1,F_azarkan
ware,1,535,1,F_azarkan
held,1,535,1,F_azarkan
rug,1,535,1,F_azarkan
grens,1,535,1,F_azarkan
walgelijk,1,535,1,F_azarkan
behandelen,1,535,1,F_azarkan
hoofd,1,535,1,F_azarkan
werken,1,535,1,F_azarkan
"1,5",1,535,1,F_azarkan
roepen,1,535,1,F_azarkan
oplossing,1,535,1,F_azarkan
gemeenten,1,535,1,F_azarkan
trekken,1,535,1,F_azarkan
vreselijk,1,535,1,F_azarkan
verantwoordelijk,1,535,1,F_azarkan
sommige,1,535,1,F_azarkan
ineens,1,535,1,F_azarkan
brengt,1,535,1,F_azarkan
5,1,535,1,F_azarkan
#corona,1,535,1,F_azarkan
auschwitz,1,535,1,F_azarkan
herinnering,1,535,1,F_azarkan
levend,1,535,1,F_azarkan
