naam,show,date,correct,corona,gender,migratie,vakgebied,wetenschap,partij,polfunctie,Datum,GEM
gerrit van der burg,Op1,2021-01-27,NA,0,m,0,Jurist,NA,NA,NA,01/27/2021,1034000
gerrit van der burg,Op1,2020-12-17,NA,0,m,0,Jurist,NA,NA,NA,12/17/2020,933000
ger rijkers,Op1,2020-04-09,NA,1,m,0,Wetenschapper,Andere medische wetenschappen,NA,NA,04/09/2020,1317000
marjan van der velden,Op1,2020-04-08,NA,0,v,0,Burger,NA,NA,NA,04/08/2020,1210000
julianne meijers,Op1,2020-04-08,NA,0,v,0,Burger,NA,NA,NA,04/08/2020,1210000
leendert jan lingen,Op1,2020-04-07,NA,1,m,0,Burger,NA,NA,NA,04/07/2020,1346000
sandra lemmen,Op1,2020-04-06,NA,1,m,0,Bedrijfsleven,NA,NA,NA,04/06/2020,1457000
ester bartholet,Op1,2020-04-05,NA,1,v,0,Burger,NA,NA,NA,04/05/2020,1572000
sanne van der kooij,Op1,2020-04-03,NA,1,v,0,Medisch personeel,NA,NA,NA,04/03/2020,1251000
cornel vader,Op1,2020-03-30,NA,1,m,0,Bedrijfsleven,NA,NA,NA,03/30/2020,1479000
arno timmermans,Op1,2020-03-28,NA,1,m,0,Medisch personeel,NA,NA,NA,03/28/2020,1233000
piet hein buiting,Op1,2020-03-28,NA,1,m,0,Medisch personeel,NA,NA,NA,03/28/2020,1233000
matthijs metzemaekers,Op1,2020-03-28,NA,1,m,0,Bedrijfsleven,NA,NA,NA,03/28/2020,1233000
simone remmen,Op1,2020-03-27,NA,1,v,0,Burger,NA,NA,NA,03/27/2020,1263000
corrie tijsseling,Op1,2020-03-27,NA,1,v,0,Niet-wetenschappelijk expert,NA,NA,NA,03/27/2020,1263000
eelke van ark,Op1,2020-03-26,NA,1,v,0,Journalist,NA,NA,NA,03/26/2020,1161000
