mtype,party,n,perc,regering,rechts,tk2017,polls,tk2017p,pollsp,kanaal
TV,CU,56,0.05045045045045045,1,0,5,6,0.03333333333333333,0.04,TV (nieuws & actualiteiten)
TV,D66,127,0.11441441441441441,1,0,19,15,0.12666666666666668,0.1,TV (nieuws & actualiteiten)
TV,Denk,26,0.023423423423423424,0,0,3,2,0.02,0.013333333333333334,TV (nieuws & actualiteiten)
TV,FvD,64,0.05765765765765766,0,1,2,3,0.013333333333333334,0.02,TV (nieuws & actualiteiten)
TV,GL,103,0.09279279279279279,0,-1,14,11,0.09333333333333334,0.07333333333333333,TV (nieuws & actualiteiten)
TV,JA21,26,0.023423423423423424,0,1,0,1,0,0.006666666666666667,TV (nieuws & actualiteiten)
TV,PvdA,89,0.08018018018018018,0,-1,9,12,0.06,0.08,TV (nieuws & actualiteiten)
TV,PvdD,31,0.027927927927927927,0,-1,5,7,0.03333333333333333,0.04666666666666667,TV (nieuws & actualiteiten)
TV,PVV,96,0.08648648648648649,0,1,20,22,0.13333333333333333,0.14666666666666667,TV (nieuws & actualiteiten)
TV,SGP,26,0.023423423423423424,0,1,3,2,0.02,0.013333333333333334,TV (nieuws & actualiteiten)
TV,SP,74,0.06666666666666667,0,-1,14,10,0.09333333333333334,0.06666666666666667,TV (nieuws & actualiteiten)
TV,Volt,18,0.016216216216216217,0,0,0,0,0,0,TV (nieuws & actualiteiten)
TV,VVD,186,0.16756756756756758,1,1,33,38,0.22,0.25333333333333335,TV (nieuws & actualiteiten)
