partij,type,name,gem
FvD & Thierry Baudet,Zwevend,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.53
FvD & Thierry Baudet,Zwevend,"Waardering 
 Erg negatief (0) - Erg Positief (10)",3.95
GL & Jesse Klaver,Coalitievoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.62
GL & Jesse Klaver,Coalitievoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.42
GL & Jesse Klaver,Niet stemmer,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.1
GL & Jesse Klaver,Niet stemmer,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.8
GL & Jesse Klaver,Partijvoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.58
GL & Jesse Klaver,Partijvoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.31
GL & Jesse Klaver,Zwevend,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.5
GL & Jesse Klaver,Zwevend,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.41
PvdA & Lilianne Ploumen,Coalitievoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.49
PvdA & Lilianne Ploumen,Coalitievoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",6.15
PvdA & Lilianne Ploumen,Niet stemmer,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",0.57
PvdA & Lilianne Ploumen,Niet stemmer,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.2
PvdA & Lilianne Ploumen,Partijvoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.43
PvdA & Lilianne Ploumen,Partijvoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",6.04
PvdA & Lilianne Ploumen,Zwevend,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.3
PvdA & Lilianne Ploumen,Zwevend,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.77
PvdD & Esther Ouwehand,Coalitievoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",0.79
PvdD & Esther Ouwehand,Coalitievoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.78
PvdD & Esther Ouwehand,Niet stemmer,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",0.55
PvdD & Esther Ouwehand,Niet stemmer,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.88
PvdD & Esther Ouwehand,Partijvoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",0.78
PvdD & Esther Ouwehand,Partijvoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.77
PvdD & Esther Ouwehand,Zwevend,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",0.79
PvdD & Esther Ouwehand,Zwevend,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.84
PVV & Geert Wilders,Coalitievoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.91
PVV & Geert Wilders,Coalitievoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",4.31
PVV & Geert Wilders,Niet stemmer,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.31
PVV & Geert Wilders,Niet stemmer,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.44
PVV & Geert Wilders,Partijvoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.89
PVV & Geert Wilders,Partijvoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",4.49
PVV & Geert Wilders,Zwevend,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.85
PVV & Geert Wilders,Zwevend,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.1
SGP  & Kees van der Staaij,Coalitievoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",0.92
SGP  & Kees van der Staaij,Coalitievoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.64
SGP  & Kees van der Staaij,Niet stemmer,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",0.41
SGP  & Kees van der Staaij,Niet stemmer,"Waardering 
 Erg negatief (0) - Erg Positief (10)",7
SGP  & Kees van der Staaij,Partijvoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",0.91
SGP  & Kees van der Staaij,Partijvoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.68
SGP  & Kees van der Staaij,Zwevend,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",0.8
SGP  & Kees van der Staaij,Zwevend,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.32
SP & Lilian Marijnissen,Coalitievoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.48
SP & Lilian Marijnissen,Coalitievoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",6.02
SP & Lilian Marijnissen,Niet stemmer,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",0.84
SP & Lilian Marijnissen,Niet stemmer,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.42
SP & Lilian Marijnissen,Partijvoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.42
SP & Lilian Marijnissen,Partijvoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.97
SP & Lilian Marijnissen,Zwevend,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.26
SP & Lilian Marijnissen,Zwevend,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.89
VVD & Mark Rutte,Coalitievoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",2.34
VVD & Mark Rutte,Coalitievoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.47
VVD & Mark Rutte,Niet stemmer,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.55
VVD & Mark Rutte,Niet stemmer,"Waardering 
 Erg negatief (0) - Erg Positief (10)",3.83
VVD & Mark Rutte,Partijvoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",2.3
VVD & Mark Rutte,Partijvoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.49
VVD & Mark Rutte,Zwevend,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",2.18
VVD & Mark Rutte,Zwevend,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.21
