partij,type,medium,days,gezien,waardering
PVV & Geert Wilders,Niet stemmer,Socials,Vaak,1.6,6.57
PVV & Geert Wilders,Niet stemmer,TV,Nauwelijks,1.22,5.67
PVV & Geert Wilders,Niet stemmer,TV,Regelmatig,1.33,4.67
PVV & Geert Wilders,Niet stemmer,TV,Vaak,1.46,5.5
PVV & Geert Wilders,Partijvoorkeur,Krant,Nauwelijks,1.82,4.66
PVV & Geert Wilders,Partijvoorkeur,Krant,Regelmatig,1.88,4.73
PVV & Geert Wilders,Partijvoorkeur,Krant,Vaak,1.98,4.21
PVV & Geert Wilders,Partijvoorkeur,Socials,Nauwelijks,1.85,4.37
PVV & Geert Wilders,Partijvoorkeur,Socials,Regelmatig,1.9,4.64
PVV & Geert Wilders,Partijvoorkeur,Socials,Vaak,2.02,4.76
PVV & Geert Wilders,Partijvoorkeur,TV,Nauwelijks,1.7,4.36
PVV & Geert Wilders,Partijvoorkeur,TV,Regelmatig,1.81,4.97
PVV & Geert Wilders,Partijvoorkeur,TV,Vaak,1.97,4.41
PVV & Geert Wilders,Zwevend,Krant,Nauwelijks,1.76,5.15
PVV & Geert Wilders,Zwevend,Krant,Regelmatig,1.88,5.18
PVV & Geert Wilders,Zwevend,Krant,Vaak,1.99,4.98
PVV & Geert Wilders,Zwevend,Socials,Nauwelijks,1.76,5.09
PVV & Geert Wilders,Zwevend,Socials,Regelmatig,1.95,5.38
PVV & Geert Wilders,Zwevend,Socials,Vaak,2.06,4.89
PVV & Geert Wilders,Zwevend,TV,Nauwelijks,1.51,4.56
PVV & Geert Wilders,Zwevend,TV,Regelmatig,1.96,4.69
PVV & Geert Wilders,Zwevend,TV,Vaak,1.96,5.5
SGP  & Kees van der Staaij,Coalitievoorkeur,Krant,Nauwelijks,0.78,5.62
SGP  & Kees van der Staaij,Coalitievoorkeur,Krant,Regelmatig,0.97,5.85
SGP  & Kees van der Staaij,Coalitievoorkeur,Krant,Vaak,1.05,5.55
SGP  & Kees van der Staaij,Coalitievoorkeur,Socials,Nauwelijks,0.87,5.63
SGP  & Kees van der Staaij,Coalitievoorkeur,Socials,Regelmatig,0.94,5.47
SGP  & Kees van der Staaij,Coalitievoorkeur,Socials,Vaak,1.07,5.71
SGP  & Kees van der Staaij,Coalitievoorkeur,TV,Nauwelijks,0.69,6.33
SGP  & Kees van der Staaij,Coalitievoorkeur,TV,Regelmatig,0.89,5.33
SGP  & Kees van der Staaij,Coalitievoorkeur,TV,Vaak,1.01,5.59
SGP  & Kees van der Staaij,Niet stemmer,Krant,Nauwelijks,0.32,6
SGP  & Kees van der Staaij,Niet stemmer,Krant,Regelmatig,0.72,8
SGP  & Kees van der Staaij,Niet stemmer,Krant,Vaak,0.4,NaN
SGP  & Kees van der Staaij,Niet stemmer,Socials,Nauwelijks,0.36,6
SGP  & Kees van der Staaij,Niet stemmer,Socials,Regelmatig,0.38,NaN
SGP  & Kees van der Staaij,Niet stemmer,Socials,Vaak,0.8,8
SGP  & Kees van der Staaij,Niet stemmer,TV,Nauwelijks,0.48,6
SGP  & Kees van der Staaij,Niet stemmer,TV,Regelmatig,0.22,NaN
SGP  & Kees van der Staaij,Niet stemmer,TV,Vaak,0.38,8
SGP  & Kees van der Staaij,Partijvoorkeur,Krant,Nauwelijks,0.76,5.6
SGP  & Kees van der Staaij,Partijvoorkeur,Krant,Regelmatig,0.98,5.77
SGP  & Kees van der Staaij,Partijvoorkeur,Krant,Vaak,1.04,5.68
SGP  & Kees van der Staaij,Partijvoorkeur,Socials,Nauwelijks,0.86,5.66
SGP  & Kees van der Staaij,Partijvoorkeur,Socials,Regelmatig,0.93,5.49
SGP  & Kees van der Staaij,Partijvoorkeur,Socials,Vaak,1.07,5.8
SGP  & Kees van der Staaij,Partijvoorkeur,TV,Nauwelijks,0.67,6.32
SGP  & Kees van der Staaij,Partijvoorkeur,TV,Regelmatig,0.91,5.22
SGP  & Kees van der Staaij,Partijvoorkeur,TV,Vaak,1,5.67
SGP  & Kees van der Staaij,Zwevend,Krant,Nauwelijks,0.61,4.33
SGP  & Kees van der Staaij,Zwevend,Krant,Regelmatig,0.92,5.29
SGP  & Kees van der Staaij,Zwevend,Krant,Vaak,1.06,5.73
SGP  & Kees van der Staaij,Zwevend,Socials,Nauwelijks,0.72,5.36
SGP  & Kees van der Staaij,Zwevend,Socials,Regelmatig,0.91,5.31
SGP  & Kees van der Staaij,Zwevend,Socials,Vaak,0.96,5.26
SGP  & Kees van der Staaij,Zwevend,TV,Nauwelijks,0.43,2
SGP  & Kees van der Staaij,Zwevend,TV,Regelmatig,1.19,4.43
SGP  & Kees van der Staaij,Zwevend,TV,Vaak,0.84,6.18
SP & Lilian Marijnissen,Coalitievoorkeur,Krant,Nauwelijks,1.38,5.97
SP & Lilian Marijnissen,Coalitievoorkeur,Krant,Regelmatig,1.46,6.18
SP & Lilian Marijnissen,Coalitievoorkeur,Krant,Vaak,1.6,5.99
SP & Lilian Marijnissen,Coalitievoorkeur,Socials,Nauwelijks,1.46,5.99
SP & Lilian Marijnissen,Coalitievoorkeur,Socials,Regelmatig,1.45,5.94
SP & Lilian Marijnissen,Coalitievoorkeur,Socials,Vaak,1.57,6.14
SP & Lilian Marijnissen,Coalitievoorkeur,TV,Nauwelijks,1.05,5.72
SP & Lilian Marijnissen,Coalitievoorkeur,TV,Regelmatig,1.38,6.4
SP & Lilian Marijnissen,Coalitievoorkeur,TV,Vaak,1.66,6.01
SP & Lilian Marijnissen,Niet stemmer,Krant,Nauwelijks,0.86,5.31
SP & Lilian Marijnissen,Niet stemmer,Krant,Regelmatig,0.78,6.25
SP & Lilian Marijnissen,Niet stemmer,Krant,Vaak,0.8,5
SP & Lilian Marijnissen,Niet stemmer,Socials,Nauwelijks,0.84,5.33
SP & Lilian Marijnissen,Niet stemmer,Socials,Regelmatig,0.81,6
SP & Lilian Marijnissen,Niet stemmer,Socials,Vaak,0.87,5
SP & Lilian Marijnissen,Niet stemmer,TV,Nauwelijks,0.81,5.29
SP & Lilian Marijnissen,Niet stemmer,TV,Regelmatig,0.89,6
SP & Lilian Marijnissen,Niet stemmer,TV,Vaak,0.85,5.33
SP & Lilian Marijnissen,Partijvoorkeur,Krant,Nauwelijks,1.3,5.94
SP & Lilian Marijnissen,Partijvoorkeur,Krant,Regelmatig,1.43,6.2
SP & Lilian Marijnissen,Partijvoorkeur,Krant,Vaak,1.56,5.92
SP & Lilian Marijnissen,Partijvoorkeur,Socials,Nauwelijks,1.4,5.95
SP & Lilian Marijnissen,Partijvoorkeur,Socials,Regelmatig,1.4,5.93
SP & Lilian Marijnissen,Partijvoorkeur,Socials,Vaak,1.52,6.1
SP & Lilian Marijnissen,Partijvoorkeur,TV,Nauwelijks,1,5.67
SP & Lilian Marijnissen,Partijvoorkeur,TV,Regelmatig,1.35,6.39
SP & Lilian Marijnissen,Partijvoorkeur,TV,Vaak,1.59,5.96
SP & Lilian Marijnissen,Zwevend,Krant,Nauwelijks,1.1,5.94
SP & Lilian Marijnissen,Zwevend,Krant,Regelmatig,1.31,5.56
SP & Lilian Marijnissen,Zwevend,Krant,Vaak,1.49,5.97
SP & Lilian Marijnissen,Zwevend,Socials,Nauwelijks,1.16,5.86
SP & Lilian Marijnissen,Zwevend,Socials,Regelmatig,1.37,5.64
SP & Lilian Marijnissen,Zwevend,Socials,Vaak,1.46,6.24
SP & Lilian Marijnissen,Zwevend,TV,Nauwelijks,0.8,5.67
SP & Lilian Marijnissen,Zwevend,TV,Regelmatig,1.62,5.92
SP & Lilian Marijnissen,Zwevend,TV,Vaak,1.34,5.94
VVD & Mark Rutte,Coalitievoorkeur,Krant,Nauwelijks,2.3,5.08
VVD & Mark Rutte,Coalitievoorkeur,Krant,Regelmatig,2.26,5.43
VVD & Mark Rutte,Coalitievoorkeur,Krant,Vaak,2.41,5.85
VVD & Mark Rutte,Coalitievoorkeur,Socials,Nauwelijks,2.32,5.35
VVD & Mark Rutte,Coalitievoorkeur,Socials,Regelmatig,2.31,5.64
VVD & Mark Rutte,Coalitievoorkeur,Socials,Vaak,2.43,5.78
VVD & Mark Rutte,Coalitievoorkeur,TV,Nauwelijks,2.22,4.93
VVD & Mark Rutte,Coalitievoorkeur,TV,Regelmatig,2.25,5.7
VVD & Mark Rutte,Coalitievoorkeur,TV,Vaak,2.4,5.59
VVD & Mark Rutte,Niet stemmer,Krant,Nauwelijks,1.6,3.53
VVD & Mark Rutte,Niet stemmer,Krant,Regelmatig,0.94,4.25
VVD & Mark Rutte,Niet stemmer,Krant,Vaak,2.07,4.4
VVD & Mark Rutte,Niet stemmer,Socials,Nauwelijks,1.59,3.48
VVD & Mark Rutte,Niet stemmer,Socials,Regelmatig,1.52,5.6
VVD & Mark Rutte,Niet stemmer,Socials,Vaak,1.27,3.83
VVD & Mark Rutte,Niet stemmer,TV,Nauwelijks,1.37,2.5
VVD & Mark Rutte,Niet stemmer,TV,Regelmatig,1.56,6
VVD & Mark Rutte,Niet stemmer,TV,Vaak,1.92,4
VVD & Mark Rutte,Partijvoorkeur,Krant,Nauwelijks,2.26,5.05
VVD & Mark Rutte,Partijvoorkeur,Krant,Regelmatig,2.22,5.48
VVD & Mark Rutte,Partijvoorkeur,Krant,Vaak,2.38,5.9
VVD & Mark Rutte,Partijvoorkeur,Socials,Nauwelijks,2.28,5.33
VVD & Mark Rutte,Partijvoorkeur,Socials,Regelmatig,2.27,5.66
VVD & Mark Rutte,Partijvoorkeur,Socials,Vaak,2.39,5.9
VVD & Mark Rutte,Partijvoorkeur,TV,Nauwelijks,2.16,4.71
VVD & Mark Rutte,Partijvoorkeur,TV,Regelmatig,2.2,5.81
VVD & Mark Rutte,Partijvoorkeur,TV,Vaak,2.38,5.65
VVD & Mark Rutte,Zwevend,Krant,Nauwelijks,2.11,4.76
VVD & Mark Rutte,Zwevend,Krant,Regelmatig,2.1,5.5
VVD & Mark Rutte,Zwevend,Krant,Vaak,2.37,5.72
VVD & Mark Rutte,Zwevend,Socials,Nauwelijks,2.08,4.94
VVD & Mark Rutte,Zwevend,Socials,Regelmatig,2.36,5.48
VVD & Mark Rutte,Zwevend,Socials,Vaak,2.38,6.25
VVD & Mark Rutte,Zwevend,TV,Nauwelijks,1.86,4.21
VVD & Mark Rutte,Zwevend,TV,Regelmatig,2.15,5.5
VVD & Mark Rutte,Zwevend,TV,Vaak,2.34,5.62
