partij,type,medium,days,gezien,waardering
CDA & Wopke Hoekstra,Zwevend,Socials,Vaak,1.63,6.13
CDA & Wopke Hoekstra,Zwevend,TV,Nauwelijks,0.86,4.38
CDA & Wopke Hoekstra,Zwevend,TV,Regelmatig,1.62,5.44
CDA & Wopke Hoekstra,Zwevend,TV,Vaak,1.69,6.24
CU & Gert-Jan Segers,Coalitievoorkeur,Krant,Nauwelijks,0.99,5.66
CU & Gert-Jan Segers,Coalitievoorkeur,Krant,Regelmatig,1.18,5.87
CU & Gert-Jan Segers,Coalitievoorkeur,Krant,Vaak,1.37,5.86
CU & Gert-Jan Segers,Coalitievoorkeur,Socials,Nauwelijks,1.14,5.72
CU & Gert-Jan Segers,Coalitievoorkeur,Socials,Regelmatig,1.16,5.98
CU & Gert-Jan Segers,Coalitievoorkeur,Socials,Vaak,1.31,5.85
CU & Gert-Jan Segers,Coalitievoorkeur,TV,Nauwelijks,0.76,5.16
CU & Gert-Jan Segers,Coalitievoorkeur,TV,Regelmatig,1.06,5.82
CU & Gert-Jan Segers,Coalitievoorkeur,TV,Vaak,1.35,5.91
CU & Gert-Jan Segers,Niet stemmer,Krant,Nauwelijks,0.48,5.62
CU & Gert-Jan Segers,Niet stemmer,Krant,Regelmatig,0.56,7.5
CU & Gert-Jan Segers,Niet stemmer,Krant,Vaak,0.6,6
CU & Gert-Jan Segers,Niet stemmer,Socials,Nauwelijks,0.51,5.95
CU & Gert-Jan Segers,Niet stemmer,Socials,Regelmatig,0.57,5
CU & Gert-Jan Segers,Niet stemmer,Socials,Vaak,0.4,6
CU & Gert-Jan Segers,Niet stemmer,TV,Nauwelijks,0.48,6.33
CU & Gert-Jan Segers,Niet stemmer,TV,Regelmatig,0.67,6.5
CU & Gert-Jan Segers,Niet stemmer,TV,Vaak,0.46,5
CU & Gert-Jan Segers,Partijvoorkeur,Krant,Nauwelijks,0.95,5.64
CU & Gert-Jan Segers,Partijvoorkeur,Krant,Regelmatig,1.16,5.86
CU & Gert-Jan Segers,Partijvoorkeur,Krant,Vaak,1.33,5.86
CU & Gert-Jan Segers,Partijvoorkeur,Socials,Nauwelijks,1.1,5.72
CU & Gert-Jan Segers,Partijvoorkeur,Socials,Regelmatig,1.13,5.93
CU & Gert-Jan Segers,Partijvoorkeur,Socials,Vaak,1.28,5.84
CU & Gert-Jan Segers,Partijvoorkeur,TV,Nauwelijks,0.73,5.08
CU & Gert-Jan Segers,Partijvoorkeur,TV,Regelmatig,1.05,5.78
CU & Gert-Jan Segers,Partijvoorkeur,TV,Vaak,1.3,5.93
CU & Gert-Jan Segers,Zwevend,Krant,Nauwelijks,0.7,5.74
CU & Gert-Jan Segers,Zwevend,Krant,Regelmatig,1.08,5.41
