mtype,id,date,publisher
Newspapers,2721868,2021-01-23,NRC Handelsblad
Newspapers,3295316,2021-03-09,De Telegraaf
Newspapers,2736228,2021-01-27,De Telegraaf
Newspapers,2746468,2021-01-29,De Telegraaf
Newspapers,2713705,2021-01-13,De Volkskrant
Newspapers,2736251,2021-01-27,De Telegraaf
Newspapers,2721935,2021-01-23,NRC Handelsblad
Newspapers,3295388,2021-03-09,De Volkskrant
Newspapers,2728099,2021-01-22,Algemeen Dagblad
Newspapers,2721959,2021-01-23,NRC Handelsblad
Newspapers,2713771,2021-01-14,De Volkskrant
Newspapers,3295411,2021-03-09,De Volkskrant
Newspapers,2721974,2021-01-23,NRC Handelsblad
Newspapers,2721982,2021-01-23,NRC Handelsblad
Newspapers,2721984,2021-01-23,NRC Handelsblad
Newspapers,2721986,2021-01-23,NRC Handelsblad
Newspapers,3295426,2021-03-09,NRC Handelsblad
Newspapers,2762979,2021-02-11,De Volkskrant
Newspapers,2754790,2021-01-28,De Volkskrant
Newspapers,2736362,2021-01-27,De Telegraaf
Newspapers,3295482,2021-03-09,NRC Handelsblad
Newspapers,2754828,2021-01-29,De Volkskrant
Newspapers,3295496,2021-03-10,Trouw
Newspapers,2754854,2021-01-29,De Volkskrant
Newspapers,3295524,2021-03-10,Trouw
Newspapers,2763052,2021-02-11,NRC Handelsblad
Newspapers,2763060,2021-02-11,NRC Handelsblad
Newspapers,3285303,2021-03-02,De Volkskrant
Newspapers,3285309,2021-03-02,De Volkskrant
Newspapers,2754889,2021-01-29,Trouw
Newspapers,3285327,2021-03-01,Trouw
Newspapers,3295563,2021-03-10,Trouw
Newspapers,3285391,2021-03-02,Trouw
Newspapers,2769393,2021-02-23,Trouw
Newspapers,2679288,2021-01-09,NRC Handelsblad
Newspapers,2679303,2021-01-09,NRC Handelsblad
Newspapers,2679310,2021-01-09,NRC Handelsblad
Newspapers,2679317,2021-01-09,NRC Handelsblad
Newspapers,2769436,2021-02-23,Trouw
Newspapers,3285559,2021-03-03,Trouw
Newspapers,2754662,2021-01-29,Trouw
Newspapers,3285633,2021-03-01,NRC Handelsblad
Newspapers,2769709,2021-02-23,De Volkskrant
Newspapers,3287139,2021-03-02,De Telegraaf
Newspapers,3285840,2021-03-02,NRC Handelsblad
Newspapers,2769748,2021-02-23,De Volkskrant
Newspapers,2704287,2021-01-19,De Telegraaf
Newspapers,3285938,2021-03-04,Trouw
Newspapers,3285995,2021-03-04,Trouw
Newspapers,3286015,2021-03-03,NRC Handelsblad
Newspapers,3295323,2021-03-09,De Telegraaf
Newspapers,2761756,2021-02-08,NRC Handelsblad
Newspapers,2761770,2021-02-08,NRC Handelsblad
Newspapers,2761774,2021-02-08,NRC Handelsblad
Newspapers,2704432,2021-01-19,De Telegraaf
Newspapers,3286100,2021-03-04,NRC Handelsblad
Newspapers,2761836,2021-02-09,De Telegraaf
Newspapers,3286188,2021-03-01,Algemeen Dagblad
Newspapers,2761944,2021-02-09,De Telegraaf
Newspapers,2721008,2021-01-23,De Telegraaf
Newspapers,3286270,2021-03-02,Algemeen Dagblad
Newspapers,2761987,2021-02-09,Algemeen Dagblad
Newspapers,2761994,2021-02-09,Algemeen Dagblad
Newspapers,2688274,2021-01-12,De Telegraaf
Newspapers,2762002,2021-02-09,Algemeen Dagblad
Newspapers,2688278,2021-01-12,De Telegraaf
Newspapers,3286340,2021-03-03,Algemeen Dagblad
Newspapers,2762068,2021-02-09,NRC Handelsblad
Newspapers,2762076,2021-02-09,NRC Handelsblad
Newspapers,2753924,2021-02-01,NRC Handelsblad
Newspapers,2712966,2021-01-20,NRC Handelsblad
Newspapers,2712968,2021-01-20,NRC Handelsblad
Newspapers,2696596,2021-01-16,NRC Handelsblad
Newspapers,2762135,2021-02-09,NRC Handelsblad
Newspapers,2696598,2021-01-16,NRC Handelsblad
Newspapers,2765933,2021-02-18,Algemeen Dagblad
Newspapers,3298418,2021-03-16,De Telegraaf
Newspapers,2675831,2021-01-07,De Volkskrant
Newspapers,2765945,2021-02-18,Algemeen Dagblad
Newspapers,2864256,2021-02-24,Algemeen Dagblad
Newspapers,2757785,2021-02-06,Algemeen Dagblad
Newspapers,2757796,2021-02-06,Algemeen Dagblad
Newspapers,2864301,2021-02-24,De Volkskrant
Newspapers,3298484,2021-03-16,De Telegraaf
Newspapers,2864314,2021-02-24,De Volkskrant
Newspapers,2716860,2021-01-23,Algemeen Dagblad
Newspapers,2757821,2021-02-06,Algemeen Dagblad
Newspapers,3298521,2021-03-16,Algemeen Dagblad
Newspapers,2766051,2021-02-18,De Volkskrant
Newspapers,2864377,2021-02-24,NRC Handelsblad
Newspapers,2766082,2021-02-18,Trouw
Newspapers,2766134,2021-02-18,Trouw
Newspapers,2864447,2021-02-24,NRC Handelsblad
Newspapers,2766170,2021-02-18,NRC Handelsblad
Newspapers,3298647,2021-03-16,NRC Handelsblad
Newspapers,3298657,2021-03-16,NRC Handelsblad
Newspapers,2864521,2021-02-25,Trouw
Newspapers,2758037,2021-02-06,Trouw
Newspapers,2717092,2021-01-23,Trouw
Newspapers,2733490,2021-01-25,NRC Handelsblad
Newspapers,2733501,2021-01-25,NRC Handelsblad
Newspapers,2766277,2021-02-19,De Telegraaf
Newspapers,2717147,2021-01-23,Trouw
Newspapers,2758121,2021-02-06,Trouw
Newspapers,2766406,2021-02-19,De Telegraaf
Newspapers,2733724,2021-01-26,Trouw
Newspapers,2733740,2021-01-26,Trouw
Newspapers,2709179,2021-01-19,De Telegraaf
Newspapers,2766526,2021-02-19,Trouw
Newspapers,2733821,2021-01-26,De Telegraaf
Newspapers,2864893,2021-02-25,NRC Handelsblad
Newspapers,2766607,2021-02-19,NRC Handelsblad
Newspapers,2766645,2021-02-19,NRC Handelsblad
Newspapers,2733897,2021-01-26,De Telegraaf
Newspapers,2766692,2021-02-20,Trouw
Newspapers,2864996,2021-02-26,Trouw
Newspapers,2733930,2021-01-26,De Telegraaf
Newspapers,2865019,2021-02-26,Trouw
Newspapers,2865183,2021-02-26,De Telegraaf
Newspapers,2865185,2021-02-26,De Telegraaf
Newspapers,2676813,2021-01-08,De Telegraaf
Newspapers,2758763,2021-02-08,De Telegraaf
Newspapers,2865307,2021-02-26,De Volkskrant
Newspapers,2767024,2021-02-20,Algemeen Dagblad
