iisID,wave,start_date,end_date,duration_min,progress,A1,A1_not,A1_vote,A2,A2_otherparty,order_A2,A3,order_A3,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,A3_7,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,order_B2,B3_1,B3_2,B3_3,B3_4,B3_5,B3_6,B3_7,B3_8,B3_9,B3_10,B3_11,B3_12,B3_13,H1,H2,H7,H7a,H7b,H8,H9,H10,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,I1_7,I1_8,I1_9,I2_1,I2_2,I2_3,I2_4,I2_5,I2_6,I2_7,I2_8,I2_9,I2_10,I2_11,I2_12,I2_13,I2_other,I3_17,I3_1,I3_2,I3_3,I3_4,I3_5,I3_6,I3_7,I3_8,I3_9,I3_10,I3_11,I3_12,I3_13,I3_14,I3_15,I3_other,I4_1,I4_2,I4_3,I4_4,I4_5,I4_6,I4_7,I4_8,I4_15,I4_other_blogs,I4_other_sites,I5_1,I5_2,I5_3,I5_4,I5_5,I5_6,I5_7,I5_8,I5_9,I5_10,I5_11,I5_other,I6_1,I6_2,I6_3,I6_4,I6_5,I6_6,I6_other,I7_1,I7_2,I7_12,I7_3,I7_4,I7_5,I7_6,I7_7,I7_8,I7_9,I7_11,I7_other
558723,wave 1,2021-02-03T09:24:53Z,2021-02-03T09:27:15Z,2.35,100,1,NA,pvda,3,NA,1|11|8|6|2|13|7|3|5|9|4|10|12|14|15|16,3|7|11|0|0|0|0,10|5|4|8|7|13|12|6|3|9|1|2|11,3,7,11,0,0,0,0,2,2,3,2,2,2,2,2,1,2,2,1,2,1|4|13|10|5|7|6|2|8|11|3|12|9,8,8,6,7,8,8,8,8,999,7,8,999,7,1,2,2,8,8,covid,drees,eerlijke samenleveing,6,1,2,3,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
558724,wave 1,2021-02-02T18:29:26Z,2021-02-02T18:38:09Z,8.7,100,1,NA,omdat ik dat mag,11,NA,8|13|1|12|5|4|2|10|6|3|9|7|11|14|15|16,7|8|11|0|0|0|0,8|6|5|4|12|1|2|3|10|7|13|9|11,7,8,11,0,0,0,0,2,999,2,999,999,1,2,999,2,1,2,3,999,1|7|9|2|4|8|11|6|13|12|5|3|10,4,999,5,999,999,999,7,999,0,999,8,1,999,1,3,2,2,5,stem recht voor vrouwen,geen idee,verdraagzaamheid gelijkheid,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,nee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558725,wave 1,2021-02-04T20:33:17Z,2021-02-09T19:31:17Z,7137.98,21,998,NA,NA,NA,NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558730,wave 1,2021-02-02T18:40:21Z,2021-02-02T18:43:29Z,3.12,100,1,NA,Om mijn mening te geven,999,NA,4|10|2|3|5|11|12|1|7|8|9|6|13|14|15|16,6|11|0|0|0|0|0,6|11|3|10|5|4|2|9|7|12|13|1|8,6,11,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4|10|1|9|2|3|12|13|6|11|8|7|5,999,999,999,999,999,999,999,999,999,999,999,999,999,1,3,2,8,8,Weet ik niet,Willem van oranje,Weet ik niet,7,0,1,7,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558733,wave 1,2021-02-02T12:44:46Z,2021-02-02T12:49:52Z,5.1,100,1,NA,belangrijk voor mezelf,11,NA,7|6|12|11|2|4|9|13|10|8|3|1|5|14|15|16,7|11|13|0|0|0|0,1|6|8|4|13|10|9|5|12|2|7|3|11,7,11,13,0,0,0,0,2,1,2,2,1,2,2,1,1,1,2,1,1,6|13|7|8|2|11|1|4|9|5|10|3|12,5,999,5,6,999,7,7,999,999,999,9,999,999,2,3,1,1,2,geen idee,thorbecke,pensioen naar oude,5,4,4,5,3,4,2,2,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558736,wave 1,2021-02-01T20:15:56Z,2021-02-01T20:24:32Z,8.58,100,1,NA,omdat ik dat belangrijk vind en het is mijn plicht,2,NA,2|5|13|9|11|4|1|8|6|7|3|10|12|14|15|16,2|7|9|11|0|0|0,9|12|1|6|7|8|3|4|10|5|2|13|11,2,7,9,11,0,0,0,2,2,1,1,3,1,2,1,2,2,2,2,1,8|1|6|12|5|7|2|11|10|3|13|9|4,6,7,999,999,0,999,7,999,7,7,8,0,999,2,4,1,0,0,verzet in de tweede wereldoorlog en AOW regeling door vader Drees,Drees,Marokkanen het land uit en een leugenaar als Rutte zwaar straffen bijv lijfstraf met een zweep,6,7,7,3,1,1,4,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
558738,wave 1,2021-02-04T13:37:27Z,2021-02-04T13:40:54Z,3.45,100,1,NA,democratie,9,NA,9|7|5|6|8|4|3|2|12|13|11|1|10|14|15|16,9|10|0|0|0|0|0,2|6|9|4|11|10|12|8|3|7|5|13|1,9,10,0,0,0,0,0,999,999,999,999,999,999,999,999,3,2,2,999,999,11|9|8|6|4|5|12|10|1|7|2|3|13,999,999,999,999,999,999,999,999,9,9,6,999,999,3,3,1,0,0,deze pandemie,niemand,democratie uitvoeren,0,3,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558741,wave 1,2021-02-02T19:42:08Z,2021-02-02T19:52:11Z,10.05,100,1,NA,ik wil niet dat mijn stem verloren gaat,7,NA,7|13|11|12|5|10|2|9|1|3|6|8|4|14|15|16,6|7|11|0|0|0|0,2|12|11|4|13|7|3|9|1|8|5|6|10,6,7,11,0,0,0,0,2,1,2,1,2,3,3,1,3,1,3,3,1,1|7|10|4|3|12|11|6|2|9|5|13|8,3,999,1,999,0,10,10,999,8,999,9,8,999,2,3,1,0,0,deze pandemie van corona,drees,economisch herstel,3,6,4,0,0,0,1,1,4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
558744,wave 1,2021-02-03T14:36:06Z,2021-02-13T18:21:21Z,14625.23,28,998,NA,NA,6,NA,6|10|3|7|13|5|1|2|4|11|8|12|9|14|15|16,6|7|11|0|0|0|0,7|13|4|11|3|5|10|2|9|8|1|6|12,6,7,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558745,wave 1,2021-02-02T13:09:55Z,2021-02-02T13:26:02Z,16.12,100,1,NA,DIT IS EEN RECHT WAAR IK GEBRUIK VAN MAAK,3,NA,8|12|1|5|13|4|9|11|10|7|3|6|2|14|15|16,1|3|12|0|0|0|0,6|8|2|9|3|13|11|5|10|7|1|12|4,1,3,12,0,0,0,0,2,1,2,3,3,2,2,1,3,1,1,2,999,4|5|2|9|1|6|11|13|10|8|12|3|7,9,999,8,0,0,9,8,999,0,999,999,9,999,2,3,1,2,6,TWEEDE WERELDOORLOG,Lubbers,dat we snel geen corona meer hebben,6,7,5,5,0,0,4,6,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
