id,cat,subcat,label,count
2713585,actor,CDA,CDA,1
2713595,actor,CDA,CDA,1
2713645,actor,CDA,CDA,3
2713707,actor,CDA,CDA,1
2713728,actor,CDA,CDA,1
2713769,actor,CDA,CDA,3
2713797,actor,CDA,CDA,10
2713812,actor,CDA,CDA,2
2713814,actor,CDA,CDA,5
2713859,actor,CDA,CDA,2
2713860,actor,CDA,CDA,1
2713878,actor,CDA,CDA,1
2713889,actor,CDA,CDA,2
2713890,actor,CDA,CDA,1
2713932,actor,CDA,CDA,2
2713984,actor,CDA,CDA,1
2714004,actor,CDA,CDA,19
2714038,actor,CDA,CDA,7
2714066,actor,CDA,CDA,1
2714071,actor,CDA,CDA,2
2714083,actor,CDA,CDA,2
2714099,actor,CDA,CDA,1
2714150,actor,CDA,CDA,1
2714182,actor,CDA,CDA,2
2714185,actor,CDA,CDA,1
2714208,actor,CDA,CDA,1
2714211,actor,CDA,CDA,6
2714221,actor,CDA,CDA,1
2714231,actor,CDA,CDA,1
2714296,actor,CDA,CDA,3
2714302,actor,CDA,CDA,5
2714423,actor,CDA,CDA,2
2714444,actor,CDA,CDA,3
2714477,actor,CDA,CDA,3
2714494,actor,CDA,CDA,11
2714501,actor,CDA,CDA,1
2714511,actor,CDA,CDA,2
2714530,actor,CDA,CDA,1
2714547,actor,CDA,CDA,1
2714597,actor,CDA,CDA,2
2714624,actor,CDA,CDA,5
2714637,actor,CDA,CDA,1
2714663,actor,CDA,CDA,1
2714667,actor,CDA,CDA,1
2714713,actor,CDA,CDA,1
2714746,actor,CDA,CDA,3
2714763,actor,CDA,CDA,3
2714773,actor,CDA,CDA,1
2714774,actor,CDA,CDA,1
2714784,actor,CDA,CDA,2
2714846,actor,CDA,CDA,2
2714854,actor,CDA,CDA,1
2714858,actor,CDA,CDA,1
2714911,actor,CDA,CDA,7
2714913,actor,CDA,CDA,2
2714942,actor,CDA,CDA,2
2714965,actor,CDA,CDA,1
2714981,actor,CDA,CDA,1
2714985,actor,CDA,CDA,1
2715045,actor,CDA,CDA,1
2715047,actor,CDA,CDA,2
2715115,actor,CDA,CDA,2
2715116,actor,CDA,CDA,3
2715117,actor,CDA,CDA,2
2715123,actor,CDA,CDA,1
2715158,actor,CDA,CDA,1
2715181,actor,CDA,CDA,1
2715243,actor,CDA,CDA,1
2715245,actor,CDA,CDA,1
2715258,actor,CDA,CDA,2
2715259,actor,CDA,CDA,1
2715264,actor,CDA,CDA,1
2715275,actor,CDA,CDA,1
2715354,actor,CDA,CDA,1
2715364,actor,CDA,CDA,1
2715435,actor,CDA,CDA,1
2715437,actor,CDA,CDA,2
2715624,actor,CDA,CDA,1
2715626,actor,CDA,CDA,1
2715637,actor,CDA,CDA,1
2715638,actor,CDA,CDA,1
2715655,actor,CDA,CDA,1
2715726,actor,CDA,CDA,1
2715735,actor,CDA,CDA,2
2715740,actor,CDA,CDA,1
2715837,actor,CDA,CDA,2
2715852,actor,CDA,CDA,4
2715903,actor,CDA,CDA,2
2715916,actor,CDA,CDA,3
2715948,actor,CDA,CDA,5
2715992,actor,CDA,CDA,2
2716076,actor,CDA,CDA,1
2716077,actor,CDA,CDA,1
2716103,actor,CDA,CDA,1
2716183,actor,CDA,CDA,2
2716250,actor,CDA,CDA,1
2716259,actor,CDA,CDA,2
2716261,actor,CDA,CDA,2
2716262,actor,CDA,CDA,1
2716263,actor,CDA,CDA,1
2716264,actor,CDA,CDA,1
2716266,actor,CDA,CDA,4
2716519,actor,CDA,CDA,1
2716529,actor,CDA,CDA,2
2716530,actor,CDA,CDA,1
2716534,actor,CDA,CDA,1
2716539,actor,CDA,CDA,2
2716547,actor,CDA,CDA,1
2716551,actor,CDA,CDA,1
2716552,actor,CDA,CDA,2
2716862,actor,CDA,CDA,1
2716899,actor,CDA,CDA,2
2716956,actor,CDA,CDA,1
2716998,actor,CDA,CDA,1
2717084,actor,CDA,CDA,1
2717091,actor,CDA,CDA,1
2717099,actor,CDA,CDA,3
2717146,actor,CDA,CDA,3
2721856,actor,CDA,CDA,5
2721861,actor,CDA,CDA,9
2721862,actor,CDA,CDA,9
2721879,actor,CDA,CDA,1
2721880,actor,CDA,CDA,1
2721886,actor,CDA,CDA,1
2721893,actor,CDA,CDA,5
2721894,actor,CDA,CDA,1
2721896,actor,CDA,CDA,1
2721897,actor,CDA,CDA,1
2721986,actor,CDA,CDA,1
2727626,actor,CDA,CDA,1
2727637,actor,CDA,CDA,5
2727638,actor,CDA,CDA,1
2727709,actor,CDA,CDA,2
2727828,actor,CDA,CDA,4
2727831,actor,CDA,CDA,2
2728081,actor,CDA,CDA,1
2732111,actor,CDA,CDA,3
2732120,actor,CDA,CDA,5
2732147,actor,CDA,CDA,6
2732151,actor,CDA,CDA,2
2732180,actor,CDA,CDA,5
2732300,actor,CDA,CDA,8
2732302,actor,CDA,CDA,1
2732310,actor,CDA,CDA,1
2732319,actor,CDA,CDA,1
2732366,actor,CDA,CDA,1
2732383,actor,CDA,CDA,7
2732394,actor,CDA,CDA,1
2733494,actor,CDA,CDA,1
2733499,actor,CDA,CDA,13
2733749,actor,CDA,CDA,1
2733798,actor,CDA,CDA,2
2733815,actor,CDA,CDA,22
2733897,actor,CDA,CDA,1
2733968,actor,CDA,CDA,1
2733978,actor,CDA,CDA,1
2733983,actor,CDA,CDA,4
2734060,actor,CDA,CDA,1
2734067,actor,CDA,CDA,2
2734088,actor,CDA,CDA,1
2735978,actor,CDA,CDA,2
2735995,actor,CDA,CDA,22
2736077,actor,CDA,CDA,1
2736141,actor,CDA,CDA,1
2736156,actor,CDA,CDA,1
2736158,actor,CDA,CDA,1
2736206,actor,CDA,CDA,1
2736233,actor,CDA,CDA,1
2736239,actor,CDA,CDA,1
2736240,actor,CDA,CDA,1
2736244,actor,CDA,CDA,2
2741091,actor,CDA,CDA,1
2741094,actor,CDA,CDA,2
2745803,actor,CDA,CDA,1
2745807,actor,CDA,CDA,1
2745811,actor,CDA,CDA,7
2745814,actor,CDA,CDA,1
2745817,actor,CDA,CDA,2
2745819,actor,CDA,CDA,1
2745824,actor,CDA,CDA,1
2745828,actor,CDA,CDA,1
2745878,actor,CDA,CDA,1
2745882,actor,CDA,CDA,1
2746464,actor,CDA,CDA,2
2746466,actor,CDA,CDA,1
2746512,actor,CDA,CDA,2
2746594,actor,CDA,CDA,2
2746612,actor,CDA,CDA,1
2751691,actor,CDA,CDA,1
2751703,actor,CDA,CDA,1
2751708,actor,CDA,CDA,2
2751722,actor,CDA,CDA,1
2751775,actor,CDA,CDA,2
2751789,actor,CDA,CDA,1
2751794,actor,CDA,CDA,3
2751981,actor,CDA,CDA,1
2751989,actor,CDA,CDA,1
2751992,actor,CDA,CDA,2
2751995,actor,CDA,CDA,2
2751997,actor,CDA,CDA,4
2752142,actor,CDA,CDA,1
2753860,actor,CDA,CDA,2
2753868,actor,CDA,CDA,4
2753897,actor,CDA,CDA,1
2753965,actor,CDA,CDA,2
2753967,actor,CDA,CDA,1
2754009,actor,CDA,CDA,1
2754083,actor,CDA,CDA,1
2754092,actor,CDA,CDA,3
2754108,actor,CDA,CDA,1
2754112,actor,CDA,CDA,4
2754116,actor,CDA,CDA,1
2754119,actor,CDA,CDA,3
2754127,actor,CDA,CDA,1
2754180,actor,CDA,CDA,1
2754182,actor,CDA,CDA,1
2754200,actor,CDA,CDA,1
2754209,actor,CDA,CDA,1
2754216,actor,CDA,CDA,1
2754263,actor,CDA,CDA,1
2754268,actor,CDA,CDA,1
2754362,actor,CDA,CDA,2
2754382,actor,CDA,CDA,1
2754388,actor,CDA,CDA,3
2754478,actor,CDA,CDA,1
2754481,actor,CDA,CDA,1
2754483,actor,CDA,CDA,2
2754493,actor,CDA,CDA,1
2754524,actor,CDA,CDA,2
2754546,actor,CDA,CDA,2
2754607,actor,CDA,CDA,8
2754635,actor,CDA,CDA,7
2754697,actor,CDA,CDA,2
2754699,actor,CDA,CDA,1
2754823,actor,CDA,CDA,1
2754841,actor,CDA,CDA,1
2754889,actor,CDA,CDA,4
2754916,actor,CDA,CDA,1
2754966,actor,CDA,CDA,1
2754997,actor,CDA,CDA,2
2755056,actor,CDA,CDA,1
2755062,actor,CDA,CDA,1
2755075,actor,CDA,CDA,5
2755083,actor,CDA,CDA,2
2755092,actor,CDA,CDA,1
2755129,actor,CDA,CDA,1
2755133,actor,CDA,CDA,2
2755137,actor,CDA,CDA,1
2755180,actor,CDA,CDA,3
2755245,actor,CDA,CDA,1
2755259,actor,CDA,CDA,3
2755267,actor,CDA,CDA,1
2755337,actor,CDA,CDA,1
2755344,actor,CDA,CDA,1
2755347,actor,CDA,CDA,3
2755412,actor,CDA,CDA,1
2755427,actor,CDA,CDA,1
2755428,actor,CDA,CDA,1
2755472,actor,CDA,CDA,1
2755479,actor,CDA,CDA,1
2755491,actor,CDA,CDA,6
2755563,actor,CDA,CDA,1
2755570,actor,CDA,CDA,1
2755617,actor,CDA,CDA,1
2755618,actor,CDA,CDA,2
2755626,actor,CDA,CDA,1
2755655,actor,CDA,CDA,2
2755681,actor,CDA,CDA,1
2756014,actor,CDA,CDA,1
2756021,actor,CDA,CDA,1
2756026,actor,CDA,CDA,1
2756046,actor,CDA,CDA,1
2756083,actor,CDA,CDA,1
2756158,actor,CDA,CDA,2
2756161,actor,CDA,CDA,1
2756189,actor,CDA,CDA,1
2756238,actor,CDA,CDA,1
2756351,actor,CDA,CDA,1
2756377,actor,CDA,CDA,1
2756395,actor,CDA,CDA,1
2756441,actor,CDA,CDA,1
2756469,actor,CDA,CDA,1
2756486,actor,CDA,CDA,3
2756518,actor,CDA,CDA,1
2756528,actor,CDA,CDA,1
2756530,actor,CDA,CDA,2
2756531,actor,CDA,CDA,3
2756537,actor,CDA,CDA,1
2756593,actor,CDA,CDA,1
2756623,actor,CDA,CDA,3
2756655,actor,CDA,CDA,2
2756699,actor,CDA,CDA,3
2756724,actor,CDA,CDA,1
2756902,actor,CDA,CDA,1
2756942,actor,CDA,CDA,6
2756948,actor,CDA,CDA,1
2756952,actor,CDA,CDA,1
2757254,actor,CDA,CDA,3
2757255,actor,CDA,CDA,1
2757260,actor,CDA,CDA,1
2757265,actor,CDA,CDA,1
2757268,actor,CDA,CDA,4
2757270,actor,CDA,CDA,1
2757279,actor,CDA,CDA,2
2757282,actor,CDA,CDA,2
2757290,actor,CDA,CDA,1
2757671,actor,CDA,CDA,1
2757714,actor,CDA,CDA,4
2757796,actor,CDA,CDA,1
2757821,actor,CDA,CDA,1
2757842,actor,CDA,CDA,2
2757894,actor,CDA,CDA,1
2757921,actor,CDA,CDA,2
2757957,actor,CDA,CDA,16
2757961,actor,CDA,CDA,1
2757962,actor,CDA,CDA,1
2758051,actor,CDA,CDA,1
2758076,actor,CDA,CDA,1
2758096,actor,CDA,CDA,2
2758097,actor,CDA,CDA,1
2758121,actor,CDA,CDA,1
2758592,actor,CDA,CDA,2
2758598,actor,CDA,CDA,1
2758601,actor,CDA,CDA,3
2758674,actor,CDA,CDA,2
2758708,actor,CDA,CDA,1
2758768,actor,CDA,CDA,1
2758882,actor,CDA,CDA,1
2761743,actor,CDA,CDA,1
2761755,actor,CDA,CDA,1
2761756,actor,CDA,CDA,1
2761758,actor,CDA,CDA,1
2761777,actor,CDA,CDA,4
2761828,actor,CDA,CDA,16
2761994,actor,CDA,CDA,2
2762002,actor,CDA,CDA,1
2762003,actor,CDA,CDA,2
2762013,actor,CDA,CDA,2
2762059,actor,CDA,CDA,1
2762060,actor,CDA,CDA,4
2762061,actor,CDA,CDA,1
2762063,actor,CDA,CDA,2
2762068,actor,CDA,CDA,1
2762075,actor,CDA,CDA,1
2762076,actor,CDA,CDA,1
2762079,actor,CDA,CDA,1
2762101,actor,CDA,CDA,1
2762102,actor,CDA,CDA,2
2762108,actor,CDA,CDA,1
2762112,actor,CDA,CDA,11
2762120,actor,CDA,CDA,1
2762134,actor,CDA,CDA,2
2762162,actor,CDA,CDA,2
2762173,actor,CDA,CDA,1
2762204,actor,CDA,CDA,6
2762219,actor,CDA,CDA,2
2762238,actor,CDA,CDA,2
2762362,actor,CDA,CDA,4
2762419,actor,CDA,CDA,1
2762488,actor,CDA,CDA,1
2762490,actor,CDA,CDA,1
2762501,actor,CDA,CDA,1
2762509,actor,CDA,CDA,1
2762515,actor,CDA,CDA,3
2762559,actor,CDA,CDA,2
2762625,actor,CDA,CDA,8
2762633,actor,CDA,CDA,1
2762652,actor,CDA,CDA,2
2762656,actor,CDA,CDA,1
2762694,actor,CDA,CDA,2
2762725,actor,CDA,CDA,1
2762850,actor,CDA,CDA,1
2762900,actor,CDA,CDA,4
2762906,actor,CDA,CDA,1
2762966,actor,CDA,CDA,2
2762979,actor,CDA,CDA,8
2763043,actor,CDA,CDA,1
2763047,actor,CDA,CDA,2
2763051,actor,CDA,CDA,1
2763053,actor,CDA,CDA,2
2763054,actor,CDA,CDA,8
2763061,actor,CDA,CDA,10
2763072,actor,CDA,CDA,4
2763113,actor,CDA,CDA,1
2763123,actor,CDA,CDA,1
2763133,actor,CDA,CDA,4
2763137,actor,CDA,CDA,1
2763179,actor,CDA,CDA,1
2763186,actor,CDA,CDA,1
2763210,actor,CDA,CDA,1
2763227,actor,CDA,CDA,1
2763230,actor,CDA,CDA,5
2763272,actor,CDA,CDA,1
2763368,actor,CDA,CDA,1
2763380,actor,CDA,CDA,2
2763390,actor,CDA,CDA,1
2763396,actor,CDA,CDA,1
