wave,variable,name,rile,value
w0,B2,50Plus,links,0.5854063018242123
w0,B2,50Plus,midden,0.6958831341301461
w0,B2,50Plus,rechts,0.726878612716763
w0,B2,CDA,links,1.6782752902155886
w0,B2,CDA,midden,1.5059760956175299
w0,B2,CDA,rechts,1.689306358381503
w0,B2,CU,links,1.0082918739635158
w0,B2,CU,midden,0.9243027888446215
w0,B2,CU,rechts,1.1170520231213872
w0,B2,D66,links,1.3217247097844114
w0,B2,D66,midden,1.1354581673306774
w0,B2,D66,rechts,1.2283236994219653
w0,B2,Denk,links,0.8855721393034826
w0,B2,Denk,midden,0.8419654714475432
w0,B2,Denk,rechts,0.9682080924855492
w0,B2,FvD,links,1.8756218905472637
w0,B2,FvD,midden,1.6401062416998673
w0,B2,FvD,rechts,1.865606936416185
w0,B2,GL,links,1.60530679933665
w0,B2,GL,midden,1.4714475431606906
w0,B2,GL,rechts,1.5621387283236994
w0,B2,PvdA,links,2.0713101160862353
w0,B2,PvdA,midden,1.7662682602921647
w0,B2,PvdA,rechts,1.8395953757225434
w0,B2,PvdD,links,0.6766169154228856
w0,B2,PvdD,midden,0.6772908366533864
w0,B2,PvdD,rechts,0.7095375722543352
w0,B2,PVV,links,1.7350993377483444
w0,B2,PVV,midden,1.699867197875166
w0,B2,PVV,rechts,1.9349710982658959
w0,B2,SGP,links,0.7645107794361525
w0,B2,SGP,midden,0.7848605577689243
w0,B2,SGP,rechts,0.9436416184971098
w0,B2,SP,links,1.3333333333333333
w0,B2,SP,midden,1.250996015936255
w0,B2,SP,rechts,1.3092485549132948
w0,B2,VVD,links,2.5356550580431176
w0,B2,VVD,midden,2.2895086321381144
w0,B2,VVD,rechts,2.417630057803468
w0,B3,50Plus,links,5
w0,B3,50Plus,midden,5.486486486486487
w0,B3,50Plus,rechts,5.521739130434782
w0,B3,CDA,links,5.287625418060201
w0,B3,CDA,midden,5.655063291139241
w0,B3,CDA,rechts,6.2024539877300615
w0,B3,CU,links,5.287625418060201
w0,B3,CU,midden,5.655063291139241
w0,B3,CU,rechts,6.2024539877300615
w0,B3,D66,links,5.990825688073395
w0,B3,D66,midden,5.842342342342342
w0,B3,D66,rechts,5.211538461538462
w0,B3,Denk,links,3.6371681415929205
w0,B3,Denk,midden,4.150375939849624
w0,B3,Denk,rechts,3.8768115942028984
w0,B3,FvD,links,1.8085106382978724
w0,B3,FvD,midden,3.3959183673469386
w0,B3,FvD,rechts,4.017985611510792
