zwevend,wave,name,value
Undecided,w0,Newspapers,2.816993464052288
Undecided,w0,Online,3.468409586056645
Undecided,w0,Social,2.429193899782135
Undecided,w0,TV,4.333333333333333
Undecided,w1,Newspapers,3.4553314121037464
Undecided,w1,Online,3.2651296829971184
Undecided,w1,Social,2.4178674351585014
Undecided,w1,TV,4.861671469740634
Undecided,w2,Newspapers,3.708904109589041
Undecided,w2,Online,3.7363013698630136
Undecided,w2,Social,2.2054794520547945
Undecided,w2,TV,5.147260273972603
Decided,w0,Newspapers,3.356091030789826
Decided,w0,Online,3.611780455153949
Decided,w0,Social,2.535475234270415
Decided,w0,TV,4.657965194109773
Decided,w1,Newspapers,3.2274368231046933
Decided,w1,Online,3.5180505415162453
Decided,w1,Social,2.371841155234657
Decided,w1,TV,4.657039711191335
Decided,w2,Newspapers,3.5230125523012554
Decided,w2,Online,3.662133891213389
Decided,w2,Social,2.342050209205021
Decided,w2,TV,4.899581589958159
