wave,A2,value,n,perc,check
wave 4,PVV,GL,7,0.01,0
wave 4,PVV,JA21,1,0,0
wave 4,PVV,PvdA,36,0.03,0
wave 4,PVV,PvDD,4,0,0
wave 4,PVV,SGP,5,0,0
wave 4,PVV,SP,13,0.01,0
wave 4,PVV,VOLT,6,0.01,0
wave 4,PVV,VVD,182,0.17,0
wave 4,SGP,50+,6,0.08,0
wave 4,SGP,Bij1,1,0.01,0
wave 4,SGP,CDA,10,0.12,0
wave 4,SGP,D66,8,0.1,0
wave 4,SGP,FvD,2,0.02,0
wave 4,SGP,GL,1,0.01,0
wave 4,SGP,PvdA,2,0.02,0
wave 4,SGP,PvDD,1,0.01,0
wave 4,SGP,PVV,6,0.08,0
wave 4,SGP,SP,4,0.05,0
wave 4,SGP,VOLT,1,0.01,0
wave 4,SGP,VVD,10,0.12,0
wave 4,SP,50+,1,0.01,0
wave 4,SP,BBB,4,0.03,0
wave 4,SP,Bij1,1,0.01,0
wave 4,SP,CDA,6,0.05,0
wave 4,SP,D66,11,0.08,0
wave 4,SP,Denk,1,0.01,0
wave 4,SP,FvD,7,0.05,0
wave 4,SP,GL,6,0.05,0
wave 4,SP,PvdA,5,0.04,0
wave 4,SP,PvDD,2,0.02,0
wave 4,SP,PVV,9,0.07,0
wave 4,SP,VOLT,6,0.05,0
wave 4,SP,VVD,14,0.11,0
wave 4,VVD,50+,1,0.01,0
wave 4,VVD,Bij1,22,0.18,0
wave 4,VVD,CDA,13,0.1,0
wave 4,VVD,D66,17,0.14,0
wave 4,VVD,FvD,3,0.02,0
wave 4,VVD,PvDD,1,0.01,0
wave 4,VVD,PVV,9,0.07,0
wave 4,VVD,SP,3,0.02,0
