name,Niet,Anders,PVV,FvD,SGP,SP,Denk,Weet niet,PvdD,50+,PvdA,GroenLinks,D66,CDA,ChristenUnie,VVD,Gemiddeld
Television,2.6,3.6956521739130435,4.283464566929134,4.18,3.0606060606060606,4.91875,4.133333333333334,4.333333333333333,4.157894736842105,4.566666666666666,5.16,4.151785714285714,4.659090909090909,5.3652173913043475,5.013698630136986,5.12037037037037,4.581669226830517
Newspapers or opinion magazines (paper or online),1.1428571428571428,3.9565217391304346,2.8661417322834644,2.74,4.333333333333333,2.91875,2.533333333333333,2.816993464052288,2.6666666666666665,4.1,3.552,3.2142857142857144,3.8863636363636362,4.260869565217392,3.4383561643835616,3.728395061728395,3.229390681003584
Radio (including podcast and online),1.1714285714285715,2.217391304347826,2.188976377952756,3.08,2.303030303030303,2.7375,3.2,2.2854030501089326,2.263157894736842,2.8,2.632,2.4642857142857144,2.727272727272727,2.8521739130434782,2.5753424657534247,2.6512345679012346,2.481310803891449
Online news sites (such as nu.nl) or blogs,2.3714285714285714,2.5217391304347827,2.9015748031496065,4.34,4.454545454545454,3.6625,3.933333333333333,3.468409586056645,3.192982456140351,3.5,3.872,3.8839285714285716,3.840909090909091,3.365217391304348,4,3.9691358024691357,3.578084997439836
"Social media (such as Facebook, Twitter)",1.5142857142857142,2.391304347826087,2.5866141732283463,4.04,2.9696969696969697,2.5125,4.733333333333333,2.429193899782135,2.175438596491228,2.966666666666667,2.384,2.75,2.1818181818181817,2.417391304347826,2.2739726027397262,2.4537037037037037,2.5104966717869943
"Messaging apps (such as Whatsapp, messenger)",1.0571428571428572,2.130434782608696,1.7086614173228347,2.74,2.0303030303030303,1.60625,3.2,1.5206971677559913,1.894736842105263,1.9666666666666666,1.768,1.5,1.3409090909090908,1.4869565217391305,1.4246575342465753,1.8055555555555556,1.6697388632872503
(Offline) conversations with people,1.7142857142857142,1.9565217391304348,2.562992125984252,3.36,3.4545454545454546,2.7875,4.066666666666666,2.581699346405229,2.8596491228070176,2.8333333333333335,2.872,2.8482142857142856,2.7386363636363638,2.6869565217391305,2.684931506849315,2.817901234567901,2.7214541730670763
News apps or push messages on your phone,1.3428571428571427,2.782608695652174,1.9251968503937007,2.74,2.787878787878788,2.2625,2.6,2.213507625272331,1.7894736842105263,2.2333333333333334,2.432,2.75,1.7954545454545454,2.1913043478260867,2.7534246575342465,2.626543209876543,2.298515104966718
Search engines (such as Google or Bing),1.1428571428571428,2.5217391304347827,1.905511811023622,2.76,2.303030303030303,1.78125,3.533333333333333,1.8300653594771241,2.0526315789473686,2.3333333333333335,1.888,2.0625,1.8977272727272727,2,1.8904109589041096,1.9074074074074074,1.9359959037378391
