wave,variable,varlabel,name,value,fillcolor
w0,B2,Noticed,50Plus,0.6848832084618774,6.184883208461877
w0,B2,Noticed,CDA,1.634200088144557,7.134200088144557
w0,B2,Noticed,CU,1.0220361392684,6.5220361392684
w0,B2,Noticed,D66,1.239753195240194,6.739753195240194
w0,B2,Noticed,Denk,0.9087703834288233,6.408770383428823
w0,B2,Noticed,FvD,1.7919788453063024,7.291978845306303
w0,B2,Noticed,GL,1.5570736007051564,7.057073600705157
w0,B2,Noticed,PvdA,1.891582194799471,7.391582194799471
w0,B2,Noticed,PvdD,0.6914940502423975,6.191494050242397
w0,B2,Noticed,PVV,1.7991189427312775,7.299118942731278
w0,B2,Noticed,SGP,0.8431026884089907,6.34310268840899
w0,B2,Noticed,SP,1.3111502864698106,6.811150286469811
w0,B2,Noticed,VVD,2.4151608638166593,7.915160863816659
w0,B3,Positive / Negatibve,50Plus,5.4,5.4
w0,B3,Positive / Negatibve,CDA,5.785201149425287,5.785201149425287
w0,B3,Positive / Negatibve,CU,6.229706390328152,6.229706390328152
w0,B3,Positive / Negatibve,D66,5.677047289504037,5.677047289504037
w0,B3,Positive / Negatibve,Denk,3.8034682080924855,3.8034682080924855
w0,B3,Positive / Negatibve,FvD,2.844792375765827,2.844792375765827
w0,B3,Positive / Negatibve,GL,5.2080123266563945,5.2080123266563945
w0,B3,Positive / Negatibve,PvdA,4.928441479684658,4.928441479684658
w0,B3,Positive / Negatibve,PvdD,6.25984251968504,6.25984251968504
w0,B3,Positive / Negatibve,PVV,4.768831168831169,4.768831168831169
w0,B3,Positive / Negatibve,SGP,5.767313019390581,5.767313019390581
w0,B3,Positive / Negatibve,SP,6.087934560327199,6.087934560327199
w0,B3,Positive / Negatibve,VVD,5.380157170923379,5.380157170923379
w1,B2,Noticed,50Plus,0.7556313993174062,6.255631399317406
w1,B2,Noticed,CDA,1.6887372013651878,7.188737201365187
w1,B2,Noticed,CU,1.1399317406143346,6.639931740614335
w1,B2,Noticed,D66,1.3733788395904436,6.873378839590444
w1,B2,Noticed,Denk,1.0368600682593856,6.536860068259386
w1,B2,Noticed,FvD,1.649146757679181,7.149146757679181
w1,B2,Noticed,GL,1.581569965870307,7.081569965870307
w1,B2,Noticed,PvdA,1.4293515358361775,6.929351535836178
w1,B2,Noticed,PvdD,0.7815699658703071,6.2815699658703075
w1,B2,Noticed,PVV,1.8880546075085325,7.388054607508533
w1,B2,Noticed,SGP,0.9119453924914676,6.411945392491468
w1,B2,Noticed,SP,1.4245733788395905,6.9245733788395905
w1,B2,Noticed,VVD,2.2996587030716724,7.799658703071673
w1,B3,Positive / Negatibve,50Plus,5.8342857142857145,5.8342857142857145
w1,B3,Positive / Negatibve,CDA,5.848101265822785,5.848101265822785
w1,B3,Positive / Negatibve,CU,6.363829787234042,6.363829787234042
w1,B3,Positive / Negatibve,D66,5.617339312406577,5.617339312406577
w1,B3,Positive / Negatibve,Denk,3.902200488997555,3.902200488997555
w1,B3,Positive / Negatibve,FvD,3.197149643705463,3.197149643705463
w1,B3,Positive / Negatibve,GL,5.3125,5.3125
w1,B3,Positive / Negatibve,PvdA,6.161684782608695,6.161684782608695
w1,B3,Positive / Negatibve,PvdD,6.128342245989304,6.128342245989304
w1,B3,Positive / Negatibve,PVV,4.688760806916426,4.688760806916426
w1,B3,Positive / Negatibve,SGP,5.879699248120301,5.879699248120301
w1,B3,Positive / Negatibve,SP,6.166898470097357,6.166898470097357
w1,B3,Positive / Negatibve,VVD,5.714399363564041,5.714399363564041
w2,B2,Noticed,50Plus,0.7527733755942948,6.252773375594295
w2,B2,Noticed,CDA,1.676703645007924,7.176703645007924
w2,B2,Noticed,CU,1.1053882725832012,6.605388272583201
w2,B2,Noticed,D66,1.3264659270998416,6.826465927099841
w2,B2,Noticed,Denk,1.067353407290016,6.567353407290016
w2,B2,Noticed,FvD,1.8549920760697305,7.35499207606973
w2,B2,Noticed,GL,1.4374009508716323,6.937400950871632
w2,B2,Noticed,PvdA,1.3993660855784469,6.899366085578447
w2,B2,Noticed,PvdD,0.9603803486529319,6.460380348652932
w2,B2,Noticed,PVV,1.93026941362916,7.43026941362916
w2,B2,Noticed,SGP,1.172741679873217,6.6727416798732175
w2,B2,Noticed,SP,1.3938193343898573,6.893819334389857
w2,B2,Noticed,VVD,2.281299524564184,7.781299524564184
w2,B3,Positive / Negatibve,50Plus,6.2784810126582276,6.2784810126582276
w2,B3,Positive / Negatibve,CDA,5.391527599486521,5.391527599486521
w2,B3,Positive / Negatibve,CU,6.428191489361702,6.428191489361702
w2,B3,Positive / Negatibve,D66,5.596190476190476,5.596190476190476
w2,B3,Positive / Negatibve,Denk,3.671232876712329,3.671232876712329
w2,B3,Positive / Negatibve,FvD,2.6971830985915495,2.6971830985915495
w2,B3,Positive / Negatibve,GL,5.269293924466338,5.269293924466338
w2,B3,Positive / Negatibve,PvdA,6.259803921568627,6.259803921568627
w2,B3,Positive / Negatibve,PvdD,6.010989010989011,6.010989010989011
w2,B3,Positive / Negatibve,PVV,4.460698689956332,4.460698689956332
w2,B3,Positive / Negatibve,SGP,5.7808857808857805,5.7808857808857805
w2,B3,Positive / Negatibve,SP,6.209183673469388,6.209183673469388
w2,B3,Positive / Negatibve,VVD,5.550684931506849,5.550684931506849
w3,B2,Noticed,50Plus,0.9012066365007542,6.4012066365007545
w3,B2,Noticed,CDA,1.7812971342383108,7.281297134238311
w3,B2,Noticed,CU,1.1787330316742082,6.678733031674208
w3,B2,Noticed,D66,1.5429864253393666,7.042986425339366
w3,B2,Noticed,Denk,1.0082956259426847,6.508295625942685
