zwevend,wave,name,value
Undecided,w0,Newspapers,2.7197452229299364
Undecided,w0,Online,2.8535031847133756
Undecided,w0,Social,1.9554140127388535
Undecided,w0,TV,4.445859872611465
Undecided,w1,Newspapers,2.617021276595745
Undecided,w1,Online,3.0425531914893615
Undecided,w1,Social,1.822695035460993
Undecided,w1,TV,4.439716312056738
Undecided,w2,Newspapers,2.8702290076335877
Undecided,w2,Online,3.0610687022900764
Undecided,w2,Social,1.702290076335878
Undecided,w2,TV,4.5038167938931295
Undecided,w3,Newspapers,2.6956521739130435
Undecided,w3,Online,2.6832298136645965
Undecided,w3,Social,1.5031055900621118
Undecided,w3,TV,3.919254658385093
Decided,w0,Newspapers,3.486607142857143
Decided,w0,Online,3.6142857142857143
Decided,w0,Social,2.3142857142857145
Decided,w0,TV,4.7508928571428575
Decided,w1,Newspapers,3.403720930232558
Decided,w1,Online,3.5106976744186045
Decided,w1,Social,2.3683720930232557
Decided,w1,TV,4.8279069767441865
Decided,w2,Newspapers,3.6381048387096775
Decided,w2,Online,3.7661290322580645
Decided,w2,Social,2.379032258064516
Decided,w2,TV,5.027217741935484
Decided,w3,Newspapers,3.5030146425495263
Decided,w3,Online,3.4108527131782944
Decided,w3,Social,1.975021533161068
Decided,w3,TV,4.511627906976744
