zwevend,wave,name,value
Undecided,w0,Newspapers,2.816192560175055
Undecided,w0,Online,3.4704595185995624
Undecided,w0,Social,2.4332603938730855
Undecided,w0,TV,4.339168490153173
Undecided,w1,Newspapers,2.8543046357615895
Undecided,w1,Online,3.3178807947019866
Undecided,w1,Social,2.0364238410596025
Undecided,w1,TV,4.433774834437086
Undecided,w2,Newspapers,3.133603238866397
Undecided,w2,Online,3.2955465587044532
Undecided,w2,Social,1.8218623481781377
Undecided,w2,TV,4.6437246963562755
Undecided,w3,Newspapers,2.9708029197080292
Undecided,w3,Online,3.0255474452554743
Undecided,w3,Social,1.5364963503649636
Undecided,w3,TV,4.208029197080292
Decided,w0,Newspapers,3.3502673796791442
Decided,w0,Online,3.606951871657754
Decided,w0,Social,2.5247326203208558
Decided,w0,TV,4.651737967914438
Decided,w1,Newspapers,3.3949652777777777
Decided,w1,Online,3.4913194444444446
Decided,w1,Social,2.470486111111111
Decided,w1,TV,4.775173611111111
Decided,w2,Newspapers,3.6756487025948106
Decided,w2,Online,3.7664670658682633
Decided,w2,Social,2.435129740518962
Decided,w2,TV,5.0359281437125745
Decided,w3,Newspapers,3.5181297709923665
Decided,w3,Online,3.3998091603053435
Decided,w3,Social,2.017175572519084
Decided,w3,TV,4.5
