period,mtype,party,n,ntot,perc
3,Newspapers,GL,147,676,0.21745562130177515
3,Newspapers,JA21,23,676,0.034023668639053255
3,Newspapers,PvdA,140,676,0.20710059171597633
3,Newspapers,PvdD,38,676,0.05621301775147929
3,Newspapers,PVV,123,676,0.1819526627218935
3,Newspapers,SGP,40,676,0.05917159763313609
3,Newspapers,SP,119,676,0.1760355029585799
3,Newspapers,Volt,9,676,0.013313609467455622
3,Newspapers,VVD,343,676,0.507396449704142
3,Online (nos.nl/nu.nl),50Plus,21,178,0.11797752808988764
3,Online (nos.nl/nu.nl),BBB,2,178,0.011235955056179775
3,Online (nos.nl/nu.nl),Bij1,4,178,0.02247191011235955
3,Online (nos.nl/nu.nl),CDA,67,178,0.37640449438202245
3,Online (nos.nl/nu.nl),CodeOranje,2,178,0.011235955056179775
3,Online (nos.nl/nu.nl),CU,39,178,0.21910112359550563
3,Online (nos.nl/nu.nl),D66,65,178,0.3651685393258427
3,Online (nos.nl/nu.nl),Denk,9,178,0.05056179775280899
3,Online (nos.nl/nu.nl),FvD,34,178,0.19101123595505617
3,Online (nos.nl/nu.nl),GL,50,178,0.2808988764044944
3,Online (nos.nl/nu.nl),JA21,6,178,0.033707865168539325
3,Online (nos.nl/nu.nl),PvdA,54,178,0.30337078651685395
3,Online (nos.nl/nu.nl),PvdD,26,178,0.14606741573033707
3,Online (nos.nl/nu.nl),PVV,39,178,0.21910112359550563
3,Online (nos.nl/nu.nl),SGP,23,178,0.12921348314606743
3,Online (nos.nl/nu.nl),SP,54,178,0.30337078651685395
3,Online (nos.nl/nu.nl),Volt,2,178,0.011235955056179775
3,Online (nos.nl/nu.nl),VVD,103,178,0.5786516853932584
3,TV,50Plus,0,78,0
3,TV,BBB,0,78,0
3,TV,Bij1,1,78,0.01282051282051282
3,TV,CDA,26,78,0.3333333333333333
3,TV,CodeOranje,2,78,0.02564102564102564
3,TV,CU,10,78,0.1282051282051282
3,TV,D66,22,78,0.28205128205128205
3,TV,Denk,5,78,0.0641025641025641
3,TV,FvD,13,78,0.16666666666666666
3,TV,GL,18,78,0.23076923076923078
3,TV,JA21,6,78,0.07692307692307693
3,TV,PvdA,16,78,0.20512820512820512
3,TV,PvdD,8,78,0.10256410256410256
3,TV,PVV,18,78,0.23076923076923078
3,TV,SGP,5,78,0.0641025641025641
3,TV,SP,12,78,0.15384615384615385
3,TV,Volt,2,78,0.02564102564102564
3,TV,VVD,35,78,0.44871794871794873
4,Newspapers,50Plus,33,687,0.048034934497816595
4,Newspapers,BBB,3,687,0.004366812227074236
4,Newspapers,Bij1,13,687,0.018922852983988356
4,Newspapers,CDA,237,687,0.34497816593886466
4,Newspapers,CodeOranje,5,687,0.00727802037845706
4,Newspapers,CU,98,687,0.14264919941775836
4,Newspapers,D66,193,687,0.28093158660844253
4,Newspapers,Denk,18,687,0.026200873362445413
4,Newspapers,FvD,123,687,0.17903930131004367
4,Newspapers,GL,168,687,0.2445414847161572
4,Newspapers,JA21,15,687,0.021834061135371178
4,Newspapers,PvdA,176,687,0.2561863173216885
4,Newspapers,PvdD,56,687,0.08151382823871907
4,Newspapers,PVV,136,687,0.19796215429403202
4,Newspapers,SGP,59,687,0.0858806404657933
4,Newspapers,SP,126,687,0.18340611353711792
4,Newspapers,Volt,9,687,0.013100436681222707
4,Newspapers,VVD,345,687,0.5021834061135371
4,Online (nos.nl/nu.nl),50Plus,15,222,0.06756756756756757
4,Online (nos.nl/nu.nl),BBB,0,222,0
4,Online (nos.nl/nu.nl),Bij1,5,222,0.02252252252252252
4,Online (nos.nl/nu.nl),CDA,65,222,0.2927927927927928
4,Online (nos.nl/nu.nl),CodeOranje,2,222,0.009009009009009009
4,Online (nos.nl/nu.nl),CU,45,222,0.20270270270270271
4,Online (nos.nl/nu.nl),D66,74,222,0.3333333333333333
4,Online (nos.nl/nu.nl),Denk,15,222,0.06756756756756757
4,Online (nos.nl/nu.nl),FvD,36,222,0.16216216216216217
4,Online (nos.nl/nu.nl),GL,71,222,0.31981981981981983
4,Online (nos.nl/nu.nl),JA21,7,222,0.03153153153153153
4,Online (nos.nl/nu.nl),PvdA,64,222,0.2882882882882883
4,Online (nos.nl/nu.nl),PvdD,42,222,0.1891891891891892
4,Online (nos.nl/nu.nl),PVV,53,222,0.23873873873873874
4,Online (nos.nl/nu.nl),SGP,29,222,0.13063063063063063
4,Online (nos.nl/nu.nl),SP,56,222,0.25225225225225223
4,Online (nos.nl/nu.nl),Volt,5,222,0.02252252252252252
4,Online (nos.nl/nu.nl),VVD,113,222,0.509009009009009
4,TV,50Plus,3,75,0.04
4,TV,BBB,1,75,0.013333333333333334
4,TV,Bij1,1,75,0.013333333333333334
4,TV,CDA,25,75,0.3333333333333333
4,TV,CodeOranje,2,75,0.02666666666666667
4,TV,CU,6,75,0.08
4,TV,D66,23,75,0.30666666666666664
4,TV,Denk,3,75,0.04
4,TV,FvD,15,75,0.2
4,TV,GL,12,75,0.16
4,TV,JA21,5,75,0.06666666666666667
4,TV,PvdA,10,75,0.13333333333333333
4,TV,PvdD,5,75,0.06666666666666667
4,TV,PVV,17,75,0.22666666666666666
4,TV,SGP,8,75,0.10666666666666667
4,TV,SP,10,75,0.13333333333333333
4,TV,Volt,2,75,0.02666666666666667
4,TV,VVD,36,75,0.48
5,Newspapers,50Plus,65,1298,0.05007704160246533
5,Newspapers,BBB,16,1298,0.012326656394453005
5,Newspapers,Bij1,48,1298,0.03697996918335902
5,Newspapers,CDA,565,1298,0.4352850539291217
5,Newspapers,CodeOranje,21,1298,0.016178736517719568
5,Newspapers,CU,234,1298,0.1802773497688752
5,Newspapers,D66,528,1298,0.4067796610169492
5,Newspapers,Denk,40,1298,0.030816640986132512
5,Newspapers,FvD,251,1298,0.1933744221879815
5,Newspapers,GL,421,1298,0.32434514637904466
5,Newspapers,JA21,61,1298,0.04699537750385208
5,Newspapers,PvdA,400,1298,0.3081664098613251
5,Newspapers,PvdD,129,1298,0.09938366718027734
5,Newspapers,PVV,332,1298,0.25577812018489987
5,Newspapers,SGP,129,1298,0.09938366718027734
5,Newspapers,SP,296,1298,0.2280431432973806
5,Newspapers,Volt,59,1298,0.045454545454545456
5,Newspapers,VVD,701,1298,0.5400616332819723
5,Online (nos.nl/nu.nl),50Plus,5,61,0.08196721311475409
5,Online (nos.nl/nu.nl),BBB,0,61,0
5,Online (nos.nl/nu.nl),Bij1,2,61,0.03278688524590164
5,Online (nos.nl/nu.nl),CDA,25,61,0.4098360655737705
5,Online (nos.nl/nu.nl),CodeOranje,0,61,0
5,Online (nos.nl/nu.nl),CU,13,61,0.21311475409836064
5,Online (nos.nl/nu.nl),D66,29,61,0.47540983606557374
5,Online (nos.nl/nu.nl),Denk,4,61,0.06557377049180328
5,Online (nos.nl/nu.nl),FvD,20,61,0.32786885245901637
5,Online (nos.nl/nu.nl),GL,22,61,0.36065573770491804
5,Online (nos.nl/nu.nl),JA21,4,61,0.06557377049180328
5,Online (nos.nl/nu.nl),PvdA,20,61,0.32786885245901637
5,Online (nos.nl/nu.nl),PvdD,10,61,0.16393442622950818
5,Online (nos.nl/nu.nl),PVV,17,61,0.2786885245901639
5,Online (nos.nl/nu.nl),SGP,14,61,0.22950819672131148
5,Online (nos.nl/nu.nl),SP,21,61,0.3442622950819672
5,Online (nos.nl/nu.nl),Volt,3,61,0.04918032786885246
5,Online (nos.nl/nu.nl),VVD,39,61,0.639344262295082
5,TV,50Plus,9,100,0.09
5,TV,BBB,1,100,0.01
5,TV,Bij1,7,100,0.07
5,TV,CDA,37,100,0.37
5,TV,CodeOranje,4,100,0.04
5,TV,CU,16,100,0.16
5,TV,D66,36,100,0.36
5,TV,Denk,9,100,0.09
5,TV,FvD,18,100,0.18
5,TV,GL,35,100,0.35
