wave,variable,varlabel,name,value,fillcolor
w2,B3,Positief / Negatief,50Plus,6.2784810126582276,6.2784810126582276
w2,B3,Positief / Negatief,CDA,5.391527599486521,5.391527599486521
w2,B3,Positief / Negatief,CU,6.428191489361702,6.428191489361702
w2,B3,Positief / Negatief,D66,5.596190476190476,5.596190476190476
w2,B3,Positief / Negatief,Denk,3.671232876712329,3.671232876712329
w2,B3,Positief / Negatief,FvD,2.6971830985915495,2.6971830985915495
w2,B3,Positief / Negatief,GL,5.269293924466338,5.269293924466338
w2,B3,Positief / Negatief,PvdA,6.259803921568627,6.259803921568627
w2,B3,Positief / Negatief,PvdD,6.010989010989011,6.010989010989011
w2,B3,Positief / Negatief,PVV,4.460698689956332,4.460698689956332
w2,B3,Positief / Negatief,SGP,5.7808857808857805,5.7808857808857805
w2,B3,Positief / Negatief,SP,6.209183673469388,6.209183673469388
w2,B3,Positief / Negatief,VVD,5.550684931506849,5.550684931506849
w3,B2,Opgevallen,50Plus,0.9012066365007542,6.4012066365007545
w3,B2,Opgevallen,CDA,1.7812971342383108,7.281297134238311
w3,B2,Opgevallen,CU,1.1787330316742082,6.678733031674208
w3,B2,Opgevallen,D66,1.5429864253393666,7.042986425339366
w3,B2,Opgevallen,Denk,1.0082956259426847,6.508295625942685
w3,B2,Opgevallen,FvD,1.944947209653092,7.444947209653092
w3,B2,Opgevallen,GL,1.605580693815988,7.105580693815988
w3,B2,Opgevallen,PvdA,1.0196078431372548,6.519607843137255
w3,B2,Opgevallen,PvdD,1.0512820512820513,6.551282051282051
w3,B2,Opgevallen,PVV,1.8227752639517345,7.322775263951734
w3,B2,Opgevallen,SGP,1.0603318250377074,6.560331825037707
w3,B2,Opgevallen,SP,1.506787330316742,7.006787330316742
w3,B2,Opgevallen,VVD,2.1138763197586727,7.613876319758672
w3,B3,Positief / Negatief,50Plus,5.387351778656127,5.387351778656127
w3,B3,Positief / Negatief,CDA,5.157158234660926,5.157158234660926
w3,B3,Positief / Negatief,CU,6.288888888888889,6.288888888888889
w3,B3,Positief / Negatief,D66,5.5558546433378195,5.5558546433378195
w3,B3,Positief / Negatief,Denk,4.074850299401198,4.074850299401198
w3,B3,Positief / Negatief,FvD,2.7037037037037037,2.7037037037037037
w3,B3,Positief / Negatief,GL,5.227912932138285,5.227912932138285
w3,B3,Positief / Negatief,PvdA,5.54178674351585,5.54178674351585
w3,B3,Positief / Negatief,PvdD,6.049180327868853,6.049180327868853
w3,B3,Positief / Negatief,PVV,4.778761061946903,4.778761061946903
w3,B3,Positief / Negatief,SGP,5.290229885057471,5.290229885057471
w3,B3,Positief / Negatief,SP,6.2881597717546365,6.2881597717546365
w3,B3,Positief / Negatief,VVD,5.5238532110091745,5.5238532110091745
w4,B2,Opgevallen,50Plus,0.9624252775405636,6.4624252775405635
w4,B2,Opgevallen,CDA,0.8847139197267293,6.384713919726729
w4,B2,Opgevallen,CU,0.8753202391118702,6.37532023911187
w4,B2,Opgevallen,D66,1.6900085397096498,7.19000853970965
w4,B2,Opgevallen,Denk,1.1682322801024765,6.668232280102476
w4,B2,Opgevallen,FvD,2.084543125533732,7.584543125533732
w4,B2,Opgevallen,GL,1.099060631938514,6.599060631938514
w4,B2,Opgevallen,PvdA,2.0777113578138344,7.577711357813834
w4,B2,Opgevallen,PvdD,1.5132365499573015,7.013236549957302
w4,B2,Opgevallen,PVV,1.1801878736122973,6.680187873612297
w4,B2,Opgevallen,SGP,1.4338172502134927,6.933817250213493
w4,B2,Opgevallen,SP,1.116140051238258,6.616140051238258
w4,B2,Opgevallen,VVD,1.8590947907771136,7.359094790777114
w4,B3,Positief / Negatief,50Plus,4.54,4.54
w4,B3,Positief / Negatief,CDA,5.297476759628154,5.297476759628154
w4,B3,Positief / Negatief,CU,6.323119777158774,6.323119777158774
w4,B3,Positief / Negatief,D66,6.1963906581740975,6.1963906581740975
w4,B3,Positief / Negatief,Denk,4.6389684813753584,4.6389684813753584
w4,B3,Positief / Negatief,FvD,2.988030467899891,2.988030467899891
w4,B3,Positief / Negatief,GL,5.023102310231023,5.023102310231023
w4,B3,Positief / Negatief,PvdA,5.991258741258742,5.991258741258742
w4,B3,Positief / Negatief,PvdD,6.0251396648044695,6.0251396648044695
w4,B3,Positief / Negatief,PVV,4.705035971223022,4.705035971223022
w4,B3,Positief / Negatief,SGP,5.5625,5.5625
w4,B3,Positief / Negatief,SP,6.292644757433489,6.292644757433489
w4,B3,Positief / Negatief,VVD,5.874257425742575,5.874257425742575
