party,issue,n,score,perc
Partij voor de Dieren,Coronabeleid,61,6.311475409836065,2.953995157384988
Partij voor de Dieren,Criminaliteitsbestrijding,14,6.714285714285714,0.6779661016949152
Partij voor de Dieren,Een ander onderwerp,112,5.7207207207207205,5.423728813559322
Partij voor de Dieren,Europese Unie en de Euro,28,6.321428571428571,1.3559322033898304
Partij voor de Dieren,Gezondheidszorg,60,6.4576271186440675,2.9055690072639226
Partij voor de Dieren,"Klimaat, natuur, en milieu",589,5.976190476190476,28.52300242130751
Partij voor de Dieren,Mobiliteit en infrastructuur,51,6.0588235294117645,2.469733656174334
Partij voor de Dieren,Normen en waarden,116,6.3826086956521735,5.6174334140435835
Partij voor de Dieren,Ondernemingsklimaat,86,5.604651162790698,4.164648910411622
Partij voor de Dieren,Onderwijs en wetenschap,22,6.681818181818182,1.0653753026634383
Partij voor de Dieren,Ontwikkelingshulp,45,5.488888888888889,2.1791767554479415
Partij voor de Dieren,Overheidsuitgaven en belastingen,20,6.3,0.9685230024213075
Partij voor de Dieren,Sociale zekerheid,43,6.6976744186046515,2.082324455205811
Partij voor de Dieren,Terreurbestrijding,17,6.529411764705882,0.8232445520581114
Partij voor de Dieren,Vrijheidsrechten,38,6.473684210526316,1.8401937046004841
Partij voor de Dieren,Werk en inkomen,26,6.576923076923077,1.2590799031476998
Partij voor de Dieren,Woningen,26,6.038461538461538,1.2590799031476998
PvdA,Asielzoekers en migranten,88,3.9431818181818183,4.261501210653753
PvdA,Bestuurlijke vernieuwing,46,6.133333333333334,2.2276029055690074
PvdA,Coronabeleid,146,6.068493150684931,7.070217917675545
PvdA,Criminaliteitsbestrijding,29,6.448275862068965,1.4043583535108959
PvdA,Een ander onderwerp,41,3.731707317073171,1.9854721549636805
PvdA,Europese Unie en de Euro,65,5.661538461538462,3.14769975786925
PvdA,Gezondheidszorg,160,6.7625,7.74818401937046
PvdA,"Klimaat, natuur, en milieu",55,5.636363636363637,2.663438256658596
PvdA,Mobiliteit en infrastructuur,29,5.551724137931035,1.4043583535108959
PvdA,Normen en waarden,80,6.275,3.87409200968523
PvdA,Ondernemingsklimaat,48,6.1875,2.324455205811138
PvdA,Onderwijs en wetenschap,96,6.610526315789474,4.648910411622276
PvdA,Ontwikkelingshulp,90,4.522222222222222,4.358353510895883
PvdA,Overheidsuitgaven en belastingen,177,5.231638418079096,8.571428571428571
PvdA,Sociale zekerheid,578,6.143847487001733,27.99031476997579
PvdA,Terreurbestrijding,22,6.863636363636363,1.0653753026634383
PvdA,Vrijheidsrechten,70,6.557142857142857,3.389830508474576
PvdA,Werk en inkomen,496,6.292338709677419,24.019370460048425
PvdA,Woningen,144,6.486111111111111,6.973365617433414
PVV,Asielzoekers en migranten,1258,4.534661354581673,60.92009685230024
PVV,Bestuurlijke vernieuwing,53,5.660377358490566,2.566585956416465
PVV,Coronabeleid,186,5.387096774193548,9.00726392251816
PVV,Criminaliteitsbestrijding,144,6.493055555555555,6.973365617433414
PVV,Een ander onderwerp,39,2.6923076923076925,1.8886198547215496
PVV,Europese Unie en de Euro,293,3.590443686006826,14.188861985472153
PVV,Gezondheidszorg,121,7.677685950413223,5.85956416464891
PVV,"Klimaat, natuur, en milieu",18,5.222222222222222,0.8716707021791767
PVV,Mobiliteit en infrastructuur,13,6.846153846153846,0.6295399515738499
PVV,Normen en waarden,141,5.595744680851064,6.828087167070218
PVV,Ondernemingsklimaat,17,6.352941176470588,0.8232445520581114
PVV,Onderwijs en wetenschap,14,6.214285714285714,0.6779661016949152
PVV,Ontwikkelingshulp,89,4.415730337078652,4.309927360774819
PVV,Overheidsuitgaven en belastingen,52,6.211538461538462,2.5181598062953996
PVV,Sociale zekerheid,53,6.943396226415095,2.566585956416465
PVV,Terreurbestrijding,261,5.642307692307693,12.639225181598063
PVV,Vrijheidsrechten,328,5.460365853658536,15.883777239709444
PVV,Werk en inkomen,39,6.6923076923076925,1.8886198547215496
PVV,Woningen,34,7.264705882352941,1.6464891041162228
SGP,Asielzoekers en migranten,45,4.488888888888889,2.1791767554479415
SGP,Bestuurlijke vernieuwing,33,6.03030303030303,1.5980629539951572
SGP,Coronabeleid,84,6.023809523809524,4.067796610169491
SGP,Criminaliteitsbestrijding,32,6.612903225806452,1.549636803874092
SGP,Een ander onderwerp,73,2.780821917808219,3.5351089588377724
SGP,Europese Unie en de Euro,31,6,1.5012106537530265
SGP,Gezondheidszorg,98,6.530612244897959,4.745762711864407
SGP,"Klimaat, natuur, en milieu",31,5.935483870967742,1.5012106537530265
SGP,Mobiliteit en infrastructuur,18,6.166666666666667,0.8716707021791767
SGP,Normen en waarden,543,5.430426716141002,26.2953995157385
SGP,Ondernemingsklimaat,29,6.586206896551724,1.4043583535108959
SGP,Onderwijs en wetenschap,83,6.072289156626506,4.019370460048426
SGP,Ontwikkelingshulp,65,5.630769230769231,3.14769975786925
SGP,Overheidsuitgaven en belastingen,41,5.85,1.9854721549636805
SGP,Sociale zekerheid,86,6.244186046511628,4.164648910411622
SGP,Terreurbestrijding,22,6.181818181818182,1.0653753026634383
SGP,Vrijheidsrechten,132,5.484848484848484,6.392251815980629
SGP,Werk en inkomen,51,6.294117647058823,2.469733656174334
SGP,Woningen,33,6,1.5980629539951572
SP,Asielzoekers en migranten,86,4.447058823529412,4.164648910411622
SP,Bestuurlijke vernieuwing,34,5.588235294117647,1.6464891041162228
SP,Coronabeleid,132,6.007692307692308,6.392251815980629
SP,Criminaliteitsbestrijding,23,6.782608695652174,1.1138014527845037
SP,Een ander onderwerp,32,4.875,1.549636803874092
SP,Europese Unie en de Euro,57,5.140350877192983,2.7602905569007263
SP,Gezondheidszorg,314,7.226837060702875,15.205811138014527
SP,"Klimaat, natuur, en milieu",80,5.8354430379746836,3.87409200968523
SP,Mobiliteit en infrastructuur,32,6.1875,1.549636803874092
SP,Normen en waarden,103,6.813725490196078,4.987893462469733
SP,Ondernemingsklimaat,26,6.5,1.2590799031476998
SP,Onderwijs en wetenschap,68,6.470588235294118,3.2929782082324457
SP,Ontwikkelingshulp,41,5.45,1.9854721549636805
SP,Overheidsuitgaven en belastingen,128,6.390625,6.198547215496368
SP,Sociale zekerheid,568,6.2176991150442475,27.506053268765136
SP,Terreurbestrijding,33,6.242424242424242,1.5980629539951572
SP,Vrijheidsrechten,75,6.493333333333333,3.631961259079903
SP,Werk en inkomen,385,6.3428571428571425,18.64406779661017
SP,Woningen,153,6.828947368421052,7.4092009685230025
VVD,Asielzoekers en migranten,59,4.610169491525424,2.857142857142857
VVD,Bestuurlijke vernieuwing,66,5.818181818181818,3.1961259079903144
VVD,Coronabeleid,948,6.423890063424947,45.907990314769975
VVD,Criminaliteitsbestrijding,51,6.2745098039215685,2.469733656174334
VVD,Een ander onderwerp,45,3.8181818181818183,2.1791767554479415
VVD,Europese Unie en de Euro,238,5.122362869198312,11.525423728813559
VVD,Gezondheidszorg,143,6.013986013986014,6.924939467312349
VVD,"Klimaat, natuur, en milieu",44,5.75,2.1307506053268765
VVD,Mobiliteit en infrastructuur,138,5,6.682808716707021
VVD,Normen en waarden,123,6.869918699186992,5.956416464891041
VVD,Ondernemingsklimaat,452,5.389380530973451,21.88861985472155
VVD,Onderwijs en wetenschap,56,6.875,2.711864406779661
VVD,Ontwikkelingshulp,22,6.045454545454546,1.0653753026634383
VVD,Overheidsuitgaven en belastingen,367,5.128415300546448,17.772397094430993
VVD,Sociale zekerheid,115,5.869565217391305,5.569007263922518
VVD,Terreurbestrijding,39,7.051282051282051,1.8886198547215496
VVD,Vrijheidsrechten,124,6.629032258064516,6.004842615012106
VVD,Werk en inkomen,170,6.182352941176471,8.232445520581114
VVD,Woningen,55,5.851851851851852,2.663438256658596
