name,attribute,w0,w4,diff
Esther Ouwehand,Integer,5.52375296912114,5.822619047619048,0.298866078497908
Esther Ouwehand,Sympathiek,5.090368608799049,5.360714285714286,0.2703456769152366
Esther Ouwehand,Weet wat er leeft,5.228843861740167,5.044047619047619,-0.18479624269254735
Farid Azarkan,Integer,3.7979559748427674,3.9826652221018417,0.18470924725907434
Farid Azarkan,Sympathiek,3.479905437352246,3.582881906825569,0.10297646947332284
Farid Azarkan,Weet wat er leeft,4.169826224328594,4.00216684723727,-0.16765937709132483
Geert Wilders,Integer,4.643085106382979,4.884417808219178,0.24133270183619882
Geert Wilders,Sympathiek,4.085775173148641,4.383561643835616,0.29778647068697506
Geert Wilders,Weet wat er leeft,5.554133333333334,5.7243150684931505,0.17018173515981694
Gert-Jan Segers,Integer,6.2233727810650885,6.427840327533265,0.20446754646817666
Gert-Jan Segers,Sympathiek,5.730170496664195,5.818833162743091,0.08866266607889539
Gert-Jan Segers,Weet wat er leeft,5.816493313521545,5.472876151484135,-0.3436171620374102
Jesse Klaver,Integer,5.275013668671405,5.18673647469459,-0.08827719397681477
Jesse Klaver,Sympathiek,5.157174151150055,4.993891797556719,-0.16328235359333565
Jesse Klaver,Weet wat er leeft,5.529895776193088,5.047120418848167,-0.48277535734492094
Kees van der Staaij,Integer,5.839467501957714,6.006514657980456,0.16704715602274245
Kees van der Staaij,Sympathiek,5.096546310832025,5.04343105320304,-0.053115257628984835
Kees van der Staaij,Weet wat er leeft,5.274586939417781,4.861020629750271,-0.41356630966750973
Liane den Haan,Integer,4.968876860622463,4.68869123252859,-0.28018562809387326
Liane den Haan,Sympathiek,4.654471544715447,4.189326556543837,-0.4651449881716099
Liane den Haan,Weet wat er leeft,4.9415760869565215,4.199491740787802,-0.7420843461687197
Lilian Marijnissen,Integer,6.326675257731959,6.623836126629422,0.2971608688974632
Lilian Marijnissen,Sympathiek,6.020658489347967,6.415270018621974,0.3946115292740071
Lilian Marijnissen,Weet wat er leeft,6.309831824062096,6.410614525139665,0.10078270107756904
Lilian Ploumen,Integer,6.150986342943854,6.134110787172012,-0.01687555577184252
Lilian Ploumen,Sympathiek,6.120152091254753,5.886297376093294,-0.23385471516145895
Lilian Ploumen,Weet wat er leeft,6.201827875095201,5.6219630709426625,-0.5798648041525389
Mark Rutte,Integer,6.14171974522293,6.061643835616438,-0.08007590960649136
Mark Rutte,Sympathiek,6.309409888357257,6.184931506849315,-0.12447838150794155
Mark Rutte,Weet wat er leeft,6.351970181043663,6.023972602739726,-0.32799757830393705
Sigrid Kaag,Integer,5.777016742770168,6.093235831809872,0.31621908903970386
Sigrid Kaag,Sympathiek,5.503810975609756,5.798903107861061,0.2950921322513045
Sigrid Kaag,Weet wat er leeft,5.622900763358778,5.830895795246801,0.20799503188802237
Thierry Baudet,Integer,3.3585746102449887,3.3289588801399823,-0.0296157301050064
Thierry Baudet,Sympathiek,3.191299498047964,3.174103237095363,-0.017196260952601072
Thierry Baudet,Weet wat er leeft,4.070949720670391,4.080489938757656,0.009540218087265018
Wopke Hoekstra,Integer,6.501884422110553,6.020947176684881,-0.48093724542567173
Wopke Hoekstra,Sympathiek,6.466331025802392,5.807832422586521,-0.6584986032158708
Wopke Hoekstra,Weet wat er leeft,6.301827347195967,5.367941712204007,-0.9338856349919604
