"day_only","platform","cum_messages","person","type"
2020-08-14,"Facebook",0,"Geert Wilders (PVV)","Number of Messages"
2020-08-15,"Facebook",6,"Geert Wilders (PVV)","Number of Messages"
2020-08-16,"Facebook",7,"Geert Wilders (PVV)","Number of Messages"
2020-08-17,"Facebook",10,"Geert Wilders (PVV)","Number of Messages"
2020-08-18,"Facebook",11,"Geert Wilders (PVV)","Number of Messages"
2020-08-19,"Facebook",20,"Geert Wilders (PVV)","Number of Messages"
2020-08-20,"Facebook",21,"Geert Wilders (PVV)","Number of Messages"
2020-08-21,"Facebook",23,"Geert Wilders (PVV)","Number of Messages"
2020-08-22,"Facebook",24,"Geert Wilders (PVV)","Number of Messages"
2020-08-23,"Facebook",26,"Geert Wilders (PVV)","Number of Messages"
2020-08-24,"Facebook",29,"Geert Wilders (PVV)","Number of Messages"
2020-08-25,"Facebook",30,"Geert Wilders (PVV)","Number of Messages"
2020-08-26,"Facebook",31,"Geert Wilders (PVV)","Number of Messages"
2020-08-27,"Facebook",32,"Geert Wilders (PVV)","Number of Messages"
2020-08-28,"Facebook",36,"Geert Wilders (PVV)","Number of Messages"
2020-08-29,"Facebook",36,"Geert Wilders (PVV)","Number of Messages"
2020-08-30,"Facebook",38,"Geert Wilders (PVV)","Number of Messages"
2020-08-31,"Facebook",41,"Geert Wilders (PVV)","Number of Messages"
2020-09-01,"Facebook",44,"Geert Wilders (PVV)","Number of Messages"
2020-09-02,"Facebook",51,"Geert Wilders (PVV)","Number of Messages"
2020-09-03,"Facebook",54,"Geert Wilders (PVV)","Number of Messages"
2020-09-04,"Facebook",60,"Geert Wilders (PVV)","Number of Messages"
2020-09-05,"Facebook",60,"Geert Wilders (PVV)","Number of Messages"
2020-09-06,"Facebook",62,"Geert Wilders (PVV)","Number of Messages"
2020-09-07,"Facebook",64,"Geert Wilders (PVV)","Number of Messages"
2020-09-08,"Facebook",68,"Geert Wilders (PVV)","Number of Messages"
2020-09-09,"Facebook",74,"Geert Wilders (PVV)","Number of Messages"
2020-09-10,"Facebook",76,"Geert Wilders (PVV)","Number of Messages"
2020-09-11,"Facebook",80,"Geert Wilders (PVV)","Number of Messages"
2020-09-12,"Facebook",82,"Geert Wilders (PVV)","Number of Messages"
2020-09-13,"Facebook",83,"Geert Wilders (PVV)","Number of Messages"
2020-09-14,"Facebook",85,"Geert Wilders (PVV)","Number of Messages"
2020-09-15,"Facebook",90,"Geert Wilders (PVV)","Number of Messages"
2020-09-16,"Facebook",96,"Geert Wilders (PVV)","Number of Messages"
2020-09-17,"Facebook",104,"Geert Wilders (PVV)","Number of Messages"
2020-09-18,"Facebook",113,"Geert Wilders (PVV)","Number of Messages"
2020-09-19,"Facebook",116,"Geert Wilders (PVV)","Number of Messages"
2020-09-20,"Facebook",117,"Geert Wilders (PVV)","Number of Messages"
2020-09-21,"Facebook",121,"Geert Wilders (PVV)","Number of Messages"
2020-09-22,"Facebook",126,"Geert Wilders (PVV)","Number of Messages"
2020-09-23,"Facebook",129,"Geert Wilders (PVV)","Number of Messages"
2020-09-24,"Facebook",133,"Geert Wilders (PVV)","Number of Messages"
2020-09-25,"Facebook",135,"Geert Wilders (PVV)","Number of Messages"
2020-09-26,"Facebook",136,"Geert Wilders (PVV)","Number of Messages"
2020-09-27,"Facebook",138,"Geert Wilders (PVV)","Number of Messages"
2020-09-28,"Facebook",141,"Geert Wilders (PVV)","Number of Messages"
2020-09-29,"Facebook",144,"Geert Wilders (PVV)","Number of Messages"
2020-09-30,"Facebook",150,"Geert Wilders (PVV)","Number of Messages"
2020-10-01,"Facebook",152,"Geert Wilders (PVV)","Number of Messages"
2020-10-02,"Facebook",154,"Geert Wilders (PVV)","Number of Messages"
2020-10-03,"Facebook",158,"Geert Wilders (PVV)","Number of Messages"
2020-10-04,"Facebook",159,"Geert Wilders (PVV)","Number of Messages"
2020-10-05,"Facebook",164,"Geert Wilders (PVV)","Number of Messages"
2020-10-06,"Facebook",167,"Geert Wilders (PVV)","Number of Messages"
2020-10-07,"Facebook",172,"Geert Wilders (PVV)","Number of Messages"
2020-10-08,"Facebook",175,"Geert Wilders (PVV)","Number of Messages"
2020-10-09,"Facebook",179,"Geert Wilders (PVV)","Number of Messages"
2020-10-10,"Facebook",180,"Geert Wilders (PVV)","Number of Messages"
2020-10-11,"Facebook",185,"Geert Wilders (PVV)","Number of Messages"
2020-10-12,"Facebook",187,"Geert Wilders (PVV)","Number of Messages"
2020-10-13,"Facebook",190,"Geert Wilders (PVV)","Number of Messages"
2020-10-14,"Facebook",198,"Geert Wilders (PVV)","Number of Messages"
2020-10-15,"Facebook",201,"Geert Wilders (PVV)","Number of Messages"
2020-10-16,"Facebook",204,"Geert Wilders (PVV)","Number of Messages"
2020-10-17,"Facebook",205,"Geert Wilders (PVV)","Number of Messages"
2020-10-18,"Facebook",209,"Geert Wilders (PVV)","Number of Messages"
2020-10-19,"Facebook",213,"Geert Wilders (PVV)","Number of Messages"
2020-10-20,"Facebook",215,"Geert Wilders (PVV)","Number of Messages"
2020-10-21,"Facebook",220,"Geert Wilders (PVV)","Number of Messages"
2020-10-22,"Facebook",225,"Geert Wilders (PVV)","Number of Messages"
2020-10-23,"Facebook",230,"Geert Wilders (PVV)","Number of Messages"
2020-10-24,"Facebook",231,"Geert Wilders (PVV)","Number of Messages"
2020-10-25,"Facebook",236,"Geert Wilders (PVV)","Number of Messages"
2020-10-26,"Facebook",238,"Geert Wilders (PVV)","Number of Messages"
2020-10-27,"Facebook",245,"Geert Wilders (PVV)","Number of Messages"
2020-10-28,"Facebook",253,"Geert Wilders (PVV)","Number of Messages"
2020-10-29,"Facebook",256,"Geert Wilders (PVV)","Number of Messages"
2020-10-30,"Facebook",259,"Geert Wilders (PVV)","Number of Messages"
2020-10-31,"Facebook",262,"Geert Wilders (PVV)","Number of Messages"
2020-11-01,"Facebook",266,"Geert Wilders (PVV)","Number of Messages"
2020-11-02,"Facebook",274,"Geert Wilders (PVV)","Number of Messages"
2020-11-03,"Facebook",282,"Geert Wilders (PVV)","Number of Messages"
2020-11-04,"Facebook",291,"Geert Wilders (PVV)","Number of Messages"
2020-11-05,"Facebook",298,"Geert Wilders (PVV)","Number of Messages"
2020-11-06,"Facebook",299,"Geert Wilders (PVV)","Number of Messages"
2020-11-07,"Facebook",301,"Geert Wilders (PVV)","Number of Messages"
2020-11-08,"Facebook",304,"Geert Wilders (PVV)","Number of Messages"
2020-11-09,"Facebook",307,"Geert Wilders (PVV)","Number of Messages"
2020-11-10,"Facebook",313,"Geert Wilders (PVV)","Number of Messages"
2020-11-11,"Facebook",317,"Geert Wilders (PVV)","Number of Messages"
2020-11-12,"Facebook",325,"Geert Wilders (PVV)","Number of Messages"
2020-11-13,"Facebook",331,"Geert Wilders (PVV)","Number of Messages"
2020-11-14,"Facebook",333,"Geert Wilders (PVV)","Number of Messages"
2020-11-15,"Facebook",338,"Geert Wilders (PVV)","Number of Messages"
2020-11-16,"Facebook",339,"Geert Wilders (PVV)","Number of Messages"
2020-11-17,"Facebook",342,"Geert Wilders (PVV)","Number of Messages"
2020-11-18,"Facebook",350,"Geert Wilders (PVV)","Number of Messages"
2020-11-19,"Facebook",353,"Geert Wilders (PVV)","Number of Messages"
2020-11-20,"Facebook",353,"Geert Wilders (PVV)","Number of Messages"
2020-11-21,"Facebook",356,"Geert Wilders (PVV)","Number of Messages"
2020-11-22,"Facebook",358,"Geert Wilders (PVV)","Number of Messages"
2020-11-23,"Facebook",361,"Geert Wilders (PVV)","Number of Messages"
2020-11-24,"Facebook",363,"Geert Wilders (PVV)","Number of Messages"
2020-11-25,"Facebook",366,"Geert Wilders (PVV)","Number of Messages"
2020-11-26,"Facebook",368,"Geert Wilders (PVV)","Number of Messages"
2020-11-27,"Facebook",371,"Geert Wilders (PVV)","Number of Messages"
2020-11-28,"Facebook",375,"Geert Wilders (PVV)","Number of Messages"
2020-11-29,"Facebook",377,"Geert Wilders (PVV)","Number of Messages"
2020-11-30,"Facebook",379,"Geert Wilders (PVV)","Number of Messages"
2020-12-01,"Facebook",380,"Geert Wilders (PVV)","Number of Messages"
2020-12-02,"Facebook",383,"Geert Wilders (PVV)","Number of Messages"
2020-12-03,"Facebook",386,"Geert Wilders (PVV)","Number of Messages"
2020-12-04,"Facebook",387,"Geert Wilders (PVV)","Number of Messages"
2020-12-05,"Facebook",388,"Geert Wilders (PVV)","Number of Messages"
2020-12-06,"Facebook",390,"Geert Wilders (PVV)","Number of Messages"
2020-12-07,"Facebook",393,"Geert Wilders (PVV)","Number of Messages"
2020-12-08,"Facebook",399,"Geert Wilders (PVV)","Number of Messages"
2020-12-09,"Facebook",407,"Geert Wilders (PVV)","Number of Messages"
2020-12-10,"Facebook",410,"Geert Wilders (PVV)","Number of Messages"
2020-12-11,"Facebook",412,"Geert Wilders (PVV)","Number of Messages"
2020-12-12,"Facebook",414,"Geert Wilders (PVV)","Number of Messages"
2020-12-13,"Facebook",416,"Geert Wilders (PVV)","Number of Messages"
2020-12-14,"Facebook",417,"Geert Wilders (PVV)","Number of Messages"
2020-12-15,"Facebook",424,"Geert Wilders (PVV)","Number of Messages"
2020-12-16,"Facebook",425,"Geert Wilders (PVV)","Number of Messages"
2020-12-17,"Facebook",430,"Geert Wilders (PVV)","Number of Messages"
2020-12-18,"Facebook",432,"Geert Wilders (PVV)","Number of Messages"
2020-12-19,"Facebook",435,"Geert Wilders (PVV)","Number of Messages"
2020-12-20,"Facebook",441,"Geert Wilders (PVV)","Number of Messages"
2020-12-21,"Facebook",442,"Geert Wilders (PVV)","Number of Messages"
2020-12-22,"Facebook",449,"Geert Wilders (PVV)","Number of Messages"
2020-12-23,"Facebook",451,"Geert Wilders (PVV)","Number of Messages"
2020-12-24,"Facebook",456,"Geert Wilders (PVV)","Number of Messages"
2020-12-25,"Facebook",459,"Geert Wilders (PVV)","Number of Messages"
2020-12-26,"Facebook",460,"Geert Wilders (PVV)","Number of Messages"
2020-12-27,"Facebook",463,"Geert Wilders (PVV)","Number of Messages"
2020-12-28,"Facebook",466,"Geert Wilders (PVV)","Number of Messages"
2020-12-29,"Facebook",466,"Geert Wilders (PVV)","Number of Messages"
2020-12-30,"Facebook",468,"Geert Wilders (PVV)","Number of Messages"
2020-12-31,"Facebook",471,"Geert Wilders (PVV)","Number of Messages"
2021-01-01,"Facebook",472,"Geert Wilders (PVV)","Number of Messages"
2021-01-02,"Facebook",474,"Geert Wilders (PVV)","Number of Messages"
2021-01-03,"Facebook",475,"Geert Wilders (PVV)","Number of Messages"
2021-01-04,"Facebook",478,"Geert Wilders (PVV)","Number of Messages"
2021-01-05,"Facebook",484,"Geert Wilders (PVV)","Number of Messages"
2021-01-06,"Facebook",485,"Geert Wilders (PVV)","Number of Messages"
2021-01-07,"Facebook",488,"Geert Wilders (PVV)","Number of Messages"
2021-01-08,"Facebook",493,"Geert Wilders (PVV)","Number of Messages"
2021-01-09,"Facebook",496,"Geert Wilders (PVV)","Number of Messages"
2021-01-10,"Facebook",500,"Geert Wilders (PVV)","Number of Messages"
2021-01-11,"Facebook",506,"Geert Wilders (PVV)","Number of Messages"
2021-01-12,"Facebook",508,"Geert Wilders (PVV)","Number of Messages"
2021-01-13,"Facebook",512,"Geert Wilders (PVV)","Number of Messages"
2021-01-14,"Facebook",515,"Geert Wilders (PVV)","Number of Messages"
2021-01-15,"Facebook",519,"Geert Wilders (PVV)","Number of Messages"
2021-01-16,"Facebook",519,"Geert Wilders (PVV)","Number of Messages"
2021-01-17,"Facebook",521,"Geert Wilders (PVV)","Number of Messages"
2021-01-18,"Facebook",522,"Geert Wilders (PVV)","Number of Messages"
2021-01-19,"Facebook",533,"Geert Wilders (PVV)","Number of Messages"
2021-01-20,"Facebook",535,"Geert Wilders (PVV)","Number of Messages"
2021-01-21,"Facebook",544,"Geert Wilders (PVV)","Number of Messages"
2021-01-22,"Facebook",545,"Geert Wilders (PVV)","Number of Messages"
2021-01-23,"Facebook",547,"Geert Wilders (PVV)","Number of Messages"
2021-01-24,"Facebook",550,"Geert Wilders (PVV)","Number of Messages"
2021-01-25,"Facebook",558,"Geert Wilders (PVV)","Number of Messages"
2021-01-26,"Facebook",564,"Geert Wilders (PVV)","Number of Messages"
2021-01-27,"Facebook",571,"Geert Wilders (PVV)","Number of Messages"
2021-01-28,"Facebook",574,"Geert Wilders (PVV)","Number of Messages"
2021-01-29,"Facebook",576,"Geert Wilders (PVV)","Number of Messages"
2021-01-30,"Facebook",578,"Geert Wilders (PVV)","Number of Messages"
2021-01-31,"Facebook",583,"Geert Wilders (PVV)","Number of Messages"
2021-02-01,"Facebook",585,"Geert Wilders (PVV)","Number of Messages"
2021-02-02,"Facebook",586,"Geert Wilders (PVV)","Number of Messages"
2021-02-03,"Facebook",588,"Geert Wilders (PVV)","Number of Messages"
2021-02-04,"Facebook",594,"Geert Wilders (PVV)","Number of Messages"
2021-02-05,"Facebook",598,"Geert Wilders (PVV)","Number of Messages"
2021-02-06,"Facebook",599,"Geert Wilders (PVV)","Number of Messages"
2021-02-07,"Facebook",602,"Geert Wilders (PVV)","Number of Messages"
2021-02-08,"Facebook",610,"Geert Wilders (PVV)","Number of Messages"
2021-02-09,"Facebook",616,"Geert Wilders (PVV)","Number of Messages"
2021-02-10,"Facebook",616,"Geert Wilders (PVV)","Number of Messages"
2021-02-11,"Facebook",618,"Geert Wilders (PVV)","Number of Messages"
2021-02-12,"Facebook",621,"Geert Wilders (PVV)","Number of Messages"
2021-02-13,"Facebook",625,"Geert Wilders (PVV)","Number of Messages"
2021-02-14,"Facebook",631,"Geert Wilders (PVV)","Number of Messages"
2021-02-15,"Facebook",637,"Geert Wilders (PVV)","Number of Messages"
2021-02-16,"Facebook",645,"Geert Wilders (PVV)","Number of Messages"
2021-02-17,"Facebook",646,"Geert Wilders (PVV)","Number of Messages"
2021-02-18,"Facebook",653,"Geert Wilders (PVV)","Number of Messages"
2021-02-19,"Facebook",658,"Geert Wilders (PVV)","Number of Messages"
2021-02-20,"Facebook",662,"Geert Wilders (PVV)","Number of Messages"
2021-02-21,"Facebook",669,"Geert Wilders (PVV)","Number of Messages"
2021-02-22,"Facebook",672,"Geert Wilders (PVV)","Number of Messages"
2020-08-14,"Instagram",0,"Geert Wilders (PVV)","Number of Messages"
2020-08-15,"Instagram",4,"Geert Wilders (PVV)","Number of Messages"
2020-08-16,"Instagram",4,"Geert Wilders (PVV)","Number of Messages"
2020-08-17,"Instagram",4,"Geert Wilders (PVV)","Number of Messages"
2020-08-18,"Instagram",4,"Geert Wilders (PVV)","Number of Messages"
2020-08-19,"Instagram",6,"Geert Wilders (PVV)","Number of Messages"
2020-08-20,"Instagram",7,"Geert Wilders (PVV)","Number of Messages"
2020-08-21,"Instagram",9,"Geert Wilders (PVV)","Number of Messages"
2020-08-22,"Instagram",9,"Geert Wilders (PVV)","Number of Messages"
2020-08-23,"Instagram",11,"Geert Wilders (PVV)","Number of Messages"
2020-08-24,"Instagram",13,"Geert Wilders (PVV)","Number of Messages"
2020-08-25,"Instagram",13,"Geert Wilders (PVV)","Number of Messages"
2020-08-26,"Instagram",13,"Geert Wilders (PVV)","Number of Messages"
2020-08-27,"Instagram",13,"Geert Wilders (PVV)","Number of Messages"
2020-08-28,"Instagram",14,"Geert Wilders (PVV)","Number of Messages"
2020-08-29,"Instagram",14,"Geert Wilders (PVV)","Number of Messages"
2020-08-30,"Instagram",15,"Geert Wilders (PVV)","Number of Messages"
2020-08-31,"Instagram",16,"Geert Wilders (PVV)","Number of Messages"
2020-09-01,"Instagram",16,"Geert Wilders (PVV)","Number of Messages"
2020-09-02,"Instagram",16,"Geert Wilders (PVV)","Number of Messages"
2020-09-03,"Instagram",16,"Geert Wilders (PVV)","Number of Messages"
2020-09-04,"Instagram",19,"Geert Wilders (PVV)","Number of Messages"
2020-09-05,"Instagram",19,"Geert Wilders (PVV)","Number of Messages"
2020-09-06,"Instagram",21,"Geert Wilders (PVV)","Number of Messages"
2020-09-07,"Instagram",22,"Geert Wilders (PVV)","Number of Messages"
2020-09-08,"Instagram",22,"Geert Wilders (PVV)","Number of Messages"
2020-09-09,"Instagram",22,"Geert Wilders (PVV)","Number of Messages"
2020-09-10,"Instagram",22,"Geert Wilders (PVV)","Number of Messages"
2020-09-11,"Instagram",22,"Geert Wilders (PVV)","Number of Messages"
2020-09-12,"Instagram",22,"Geert Wilders (PVV)","Number of Messages"
2020-09-13,"Instagram",22,"Geert Wilders (PVV)","Number of Messages"
2020-09-14,"Instagram",23,"Geert Wilders (PVV)","Number of Messages"
2020-09-15,"Instagram",23,"Geert Wilders (PVV)","Number of Messages"
2020-09-16,"Instagram",23,"Geert Wilders (PVV)","Number of Messages"
2020-09-17,"Instagram",23,"Geert Wilders (PVV)","Number of Messages"
2020-09-18,"Instagram",24,"Geert Wilders (PVV)","Number of Messages"
2020-09-19,"Instagram",25,"Geert Wilders (PVV)","Number of Messages"
2020-09-20,"Instagram",26,"Geert Wilders (PVV)","Number of Messages"
2020-09-21,"Instagram",26,"Geert Wilders (PVV)","Number of Messages"
2020-09-22,"Instagram",26,"Geert Wilders (PVV)","Number of Messages"
2020-09-23,"Instagram",29,"Geert Wilders (PVV)","Number of Messages"
2020-09-24,"Instagram",29,"Geert Wilders (PVV)","Number of Messages"
2020-09-25,"Instagram",30,"Geert Wilders (PVV)","Number of Messages"
2020-09-26,"Instagram",30,"Geert Wilders (PVV)","Number of Messages"
2020-09-27,"Instagram",30,"Geert Wilders (PVV)","Number of Messages"
2020-09-28,"Instagram",30,"Geert Wilders (PVV)","Number of Messages"
2020-09-29,"Instagram",30,"Geert Wilders (PVV)","Number of Messages"
2020-09-30,"Instagram",30,"Geert Wilders (PVV)","Number of Messages"
2020-10-01,"Instagram",30,"Geert Wilders (PVV)","Number of Messages"
2020-10-02,"Instagram",30,"Geert Wilders (PVV)","Number of Messages"
2020-10-03,"Instagram",32,"Geert Wilders (PVV)","Number of Messages"
2020-10-04,"Instagram",33,"Geert Wilders (PVV)","Number of Messages"
2020-10-05,"Instagram",33,"Geert Wilders (PVV)","Number of Messages"
2020-10-06,"Instagram",33,"Geert Wilders (PVV)","Number of Messages"
2020-10-07,"Instagram",33,"Geert Wilders (PVV)","Number of Messages"
2020-10-08,"Instagram",33,"Geert Wilders (PVV)","Number of Messages"
2020-10-09,"Instagram",34,"Geert Wilders (PVV)","Number of Messages"
2020-10-10,"Instagram",34,"Geert Wilders (PVV)","Number of Messages"
2020-10-11,"Instagram",36,"Geert Wilders (PVV)","Number of Messages"
2020-10-12,"Instagram",36,"Geert Wilders (PVV)","Number of Messages"
2020-10-13,"Instagram",37,"Geert Wilders (PVV)","Number of Messages"
2020-10-14,"Instagram",38,"Geert Wilders (PVV)","Number of Messages"
2020-10-15,"Instagram",38,"Geert Wilders (PVV)","Number of Messages"
2020-10-16,"Instagram",40,"Geert Wilders (PVV)","Number of Messages"
2020-10-17,"Instagram",41,"Geert Wilders (PVV)","Number of Messages"
2020-10-18,"Instagram",42,"Geert Wilders (PVV)","Number of Messages"
2020-10-19,"Instagram",44,"Geert Wilders (PVV)","Number of Messages"
2020-10-20,"Instagram",45,"Geert Wilders (PVV)","Number of Messages"
2020-10-21,"Instagram",45,"Geert Wilders (PVV)","Number of Messages"
2020-10-22,"Instagram",46,"Geert Wilders (PVV)","Number of Messages"
2020-10-23,"Instagram",48,"Geert Wilders (PVV)","Number of Messages"
2020-10-24,"Instagram",49,"Geert Wilders (PVV)","Number of Messages"
2020-10-25,"Instagram",50,"Geert Wilders (PVV)","Number of Messages"
2020-10-26,"Instagram",51,"Geert Wilders (PVV)","Number of Messages"
2020-10-27,"Instagram",55,"Geert Wilders (PVV)","Number of Messages"
2020-10-28,"Instagram",56,"Geert Wilders (PVV)","Number of Messages"
2020-10-29,"Instagram",57,"Geert Wilders (PVV)","Number of Messages"
2020-10-30,"Instagram",58,"Geert Wilders (PVV)","Number of Messages"
2020-10-31,"Instagram",59,"Geert Wilders (PVV)","Number of Messages"
2020-11-01,"Instagram",62,"Geert Wilders (PVV)","Number of Messages"
2020-11-02,"Instagram",63,"Geert Wilders (PVV)","Number of Messages"
2020-11-03,"Instagram",64,"Geert Wilders (PVV)","Number of Messages"
2020-11-04,"Instagram",65,"Geert Wilders (PVV)","Number of Messages"
2020-11-05,"Instagram",67,"Geert Wilders (PVV)","Number of Messages"
2020-11-06,"Instagram",69,"Geert Wilders (PVV)","Number of Messages"
2020-11-07,"Instagram",69,"Geert Wilders (PVV)","Number of Messages"
2020-11-08,"Instagram",70,"Geert Wilders (PVV)","Number of Messages"
2020-11-09,"Instagram",71,"Geert Wilders (PVV)","Number of Messages"
2020-11-10,"Instagram",72,"Geert Wilders (PVV)","Number of Messages"
2020-11-11,"Instagram",73,"Geert Wilders (PVV)","Number of Messages"
2020-11-12,"Instagram",74,"Geert Wilders (PVV)","Number of Messages"
2020-11-13,"Instagram",77,"Geert Wilders (PVV)","Number of Messages"
2020-11-14,"Instagram",78,"Geert Wilders (PVV)","Number of Messages"
2020-11-15,"Instagram",81,"Geert Wilders (PVV)","Number of Messages"
2020-11-16,"Instagram",81,"Geert Wilders (PVV)","Number of Messages"
2020-11-17,"Instagram",81,"Geert Wilders (PVV)","Number of Messages"
2020-11-18,"Instagram",82,"Geert Wilders (PVV)","Number of Messages"
2020-11-19,"Instagram",82,"Geert Wilders (PVV)","Number of Messages"
2020-11-20,"Instagram",83,"Geert Wilders (PVV)","Number of Messages"
2020-11-21,"Instagram",83,"Geert Wilders (PVV)","Number of Messages"
2020-11-22,"Instagram",85,"Geert Wilders (PVV)","Number of Messages"
2020-11-23,"Instagram",85,"Geert Wilders (PVV)","Number of Messages"
2020-11-24,"Instagram",85,"Geert Wilders (PVV)","Number of Messages"
2020-11-25,"Instagram",86,"Geert Wilders (PVV)","Number of Messages"
2020-11-26,"Instagram",87,"Geert Wilders (PVV)","Number of Messages"
2020-11-27,"Instagram",88,"Geert Wilders (PVV)","Number of Messages"
2020-11-28,"Instagram",88,"Geert Wilders (PVV)","Number of Messages"
2020-11-29,"Instagram",90,"Geert Wilders (PVV)","Number of Messages"
2020-11-30,"Instagram",90,"Geert Wilders (PVV)","Number of Messages"
2020-12-01,"Instagram",90,"Geert Wilders (PVV)","Number of Messages"
2020-12-02,"Instagram",91,"Geert Wilders (PVV)","Number of Messages"
2020-12-03,"Instagram",91,"Geert Wilders (PVV)","Number of Messages"
2020-12-04,"Instagram",91,"Geert Wilders (PVV)","Number of Messages"
2020-12-05,"Instagram",91,"Geert Wilders (PVV)","Number of Messages"
2020-12-06,"Instagram",92,"Geert Wilders (PVV)","Number of Messages"
2020-12-07,"Instagram",94,"Geert Wilders (PVV)","Number of Messages"
2020-12-08,"Instagram",94,"Geert Wilders (PVV)","Number of Messages"
2020-12-09,"Instagram",94,"Geert Wilders (PVV)","Number of Messages"
2020-12-10,"Instagram",95,"Geert Wilders (PVV)","Number of Messages"
2020-12-11,"Instagram",95,"Geert Wilders (PVV)","Number of Messages"
2020-12-12,"Instagram",95,"Geert Wilders (PVV)","Number of Messages"
2020-12-13,"Instagram",97,"Geert Wilders (PVV)","Number of Messages"
2020-12-14,"Instagram",97,"Geert Wilders (PVV)","Number of Messages"
2020-12-15,"Instagram",98,"Geert Wilders (PVV)","Number of Messages"
2020-12-16,"Instagram",98,"Geert Wilders (PVV)","Number of Messages"
2020-12-17,"Instagram",98,"Geert Wilders (PVV)","Number of Messages"
2020-12-18,"Instagram",98,"Geert Wilders (PVV)","Number of Messages"
2020-12-19,"Instagram",99,"Geert Wilders (PVV)","Number of Messages"
2020-12-20,"Instagram",101,"Geert Wilders (PVV)","Number of Messages"
2020-12-21,"Instagram",101,"Geert Wilders (PVV)","Number of Messages"
2020-12-22,"Instagram",101,"Geert Wilders (PVV)","Number of Messages"
2020-12-23,"Instagram",101,"Geert Wilders (PVV)","Number of Messages"
2020-12-24,"Instagram",103,"Geert Wilders (PVV)","Number of Messages"
2020-12-25,"Instagram",105,"Geert Wilders (PVV)","Number of Messages"
2020-12-26,"Instagram",105,"Geert Wilders (PVV)","Number of Messages"
2020-12-27,"Instagram",106,"Geert Wilders (PVV)","Number of Messages"
2020-12-28,"Instagram",106,"Geert Wilders (PVV)","Number of Messages"
2020-12-29,"Instagram",106,"Geert Wilders (PVV)","Number of Messages"
2020-12-30,"Instagram",106,"Geert Wilders (PVV)","Number of Messages"
2020-12-31,"Instagram",107,"Geert Wilders (PVV)","Number of Messages"
2021-01-01,"Instagram",107,"Geert Wilders (PVV)","Number of Messages"
2021-01-02,"Instagram",108,"Geert Wilders (PVV)","Number of Messages"
2021-01-03,"Instagram",109,"Geert Wilders (PVV)","Number of Messages"
2021-01-04,"Instagram",109,"Geert Wilders (PVV)","Number of Messages"
2021-01-05,"Instagram",110,"Geert Wilders (PVV)","Number of Messages"
2021-01-06,"Instagram",110,"Geert Wilders (PVV)","Number of Messages"
2021-01-07,"Instagram",111,"Geert Wilders (PVV)","Number of Messages"
2021-01-08,"Instagram",111,"Geert Wilders (PVV)","Number of Messages"
2021-01-09,"Instagram",112,"Geert Wilders (PVV)","Number of Messages"
2021-01-10,"Instagram",114,"Geert Wilders (PVV)","Number of Messages"
2021-01-11,"Instagram",115,"Geert Wilders (PVV)","Number of Messages"
2021-01-12,"Instagram",115,"Geert Wilders (PVV)","Number of Messages"
2021-01-13,"Instagram",115,"Geert Wilders (PVV)","Number of Messages"
2021-01-14,"Instagram",115,"Geert Wilders (PVV)","Number of Messages"
2021-01-15,"Instagram",115,"Geert Wilders (PVV)","Number of Messages"
2021-01-16,"Instagram",116,"Geert Wilders (PVV)","Number of Messages"
2021-01-17,"Instagram",118,"Geert Wilders (PVV)","Number of Messages"
2021-01-18,"Instagram",118,"Geert Wilders (PVV)","Number of Messages"
2021-01-19,"Instagram",118,"Geert Wilders (PVV)","Number of Messages"
2021-01-20,"Instagram",119,"Geert Wilders (PVV)","Number of Messages"
2021-01-21,"Instagram",122,"Geert Wilders (PVV)","Number of Messages"
2021-01-22,"Instagram",122,"Geert Wilders (PVV)","Number of Messages"
2021-01-23,"Instagram",122,"Geert Wilders (PVV)","Number of Messages"
2021-01-24,"Instagram",123,"Geert Wilders (PVV)","Number of Messages"
2021-01-25,"Instagram",124,"Geert Wilders (PVV)","Number of Messages"
2021-01-26,"Instagram",124,"Geert Wilders (PVV)","Number of Messages"
2021-01-27,"Instagram",124,"Geert Wilders (PVV)","Number of Messages"
2021-01-28,"Instagram",125,"Geert Wilders (PVV)","Number of Messages"
2021-01-29,"Instagram",127,"Geert Wilders (PVV)","Number of Messages"
2021-01-30,"Instagram",127,"Geert Wilders (PVV)","Number of Messages"
2021-01-31,"Instagram",128,"Geert Wilders (PVV)","Number of Messages"
2021-02-01,"Instagram",128,"Geert Wilders (PVV)","Number of Messages"
2021-02-02,"Instagram",128,"Geert Wilders (PVV)","Number of Messages"
2021-02-03,"Instagram",128,"Geert Wilders (PVV)","Number of Messages"
2021-02-04,"Instagram",130,"Geert Wilders (PVV)","Number of Messages"
2021-02-05,"Instagram",131,"Geert Wilders (PVV)","Number of Messages"
2021-02-06,"Instagram",132,"Geert Wilders (PVV)","Number of Messages"
2021-02-07,"Instagram",134,"Geert Wilders (PVV)","Number of Messages"
2021-02-08,"Instagram",135,"Geert Wilders (PVV)","Number of Messages"
2021-02-09,"Instagram",135,"Geert Wilders (PVV)","Number of Messages"
2021-02-10,"Instagram",136,"Geert Wilders (PVV)","Number of Messages"
2021-02-11,"Instagram",137,"Geert Wilders (PVV)","Number of Messages"
2021-02-12,"Instagram",137,"Geert Wilders (PVV)","Number of Messages"
2021-02-13,"Instagram",138,"Geert Wilders (PVV)","Number of Messages"
