"name_label","date","twitter_diff","final_label"
"Farid Azarkan (DENK)",2021-02-11,4.27,"Farid Azarkan (DENK): 13,286 to 14,043 (+6%)"
"Farid Azarkan (DENK)",2021-02-12,4.4,"Farid Azarkan (DENK): 13,286 to 14,043 (+6%)"
"Farid Azarkan (DENK)",2021-02-13,4.65,"Farid Azarkan (DENK): 13,286 to 14,043 (+6%)"
"Farid Azarkan (DENK)",2021-02-14,5.02,"Farid Azarkan (DENK): 13,286 to 14,043 (+6%)"
"Farid Azarkan (DENK)",2021-02-15,5.39,"Farid Azarkan (DENK): 13,286 to 14,043 (+6%)"
"Thierry Baudet (FvD)",2021-01-21,0,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-01-22,0.13,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-01-23,0.26,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-01-24,0.39,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-01-25,0.52,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-01-26,0.65,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-01-27,0.77,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-01-28,0.9,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-01-29,1.03,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-01-30,1.14,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-01-31,1.19,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-02-01,1.24,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-02-02,1.29,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-02-03,1.34,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-02-04,1.38,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-02-05,1.4,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-02-06,1.41,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-02-07,1.42,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-02-08,1.44,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-02-09,1.45,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-02-10,1.47,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-02-11,1.48,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-02-12,1.49,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-02-13,1.55,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-02-14,1.64,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Thierry Baudet (FvD)",2021-02-15,1.73,"Thierry Baudet (FvD): 244,160 to 248,541 (+2%)"
"Jesse Klaver (GL)",2021-01-21,0,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-01-22,0.13,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-01-23,0.26,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-01-24,0.39,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-01-25,0.52,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-01-26,0.65,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-01-27,0.78,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-01-28,0.91,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-01-29,1.04,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-01-30,1.15,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-01-31,1.2,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-02-01,1.26,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-02-02,1.31,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-02-03,1.36,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-02-04,1.4,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
