"date","instagram","diff","name_label","final_label"
2021-01-01,"thierry_baudet",0,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-02,"thierry_baudet",-0.01,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-03,"thierry_baudet",0.01,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-04,"thierry_baudet",-0.05,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-05,"thierry_baudet",-0.12,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-06,"thierry_baudet",-0.18,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-07,"thierry_baudet",-0.16,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-08,"thierry_baudet",-0.13,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-09,"thierry_baudet",-0.11,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-10,"thierry_baudet",-0.09,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-11,"thierry_baudet",-0.06,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-12,"thierry_baudet",-0.04,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-13,"thierry_baudet",0.32,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-14,"thierry_baudet",0.67,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-15,"thierry_baudet",0.77,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-16,"thierry_baudet",0.78,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-17,"thierry_baudet",0.86,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-18,"thierry_baudet",0.86,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-19,"thierry_baudet",0.87,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-20,"thierry_baudet",1.08,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-21,"thierry_baudet",1.74,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-22,"thierry_baudet",2.11,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-23,"thierry_baudet",2.22,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-24,"thierry_baudet",2.39,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-25,"thierry_baudet",2.57,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-26,"thierry_baudet",2.74,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-27,"thierry_baudet",3.05,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-28,"thierry_baudet",3.29,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-29,"thierry_baudet",3.36,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-30,"thierry_baudet",3.42,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-31,"thierry_baudet",3.49,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-02-01,"thierry_baudet",3.52,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-02-02,"thierry_baudet",3.55,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-02-03,"thierry_baudet",3.6,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-02-04,"thierry_baudet",3.76,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-02-05,"thierry_baudet",3.94,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-02-06,"thierry_baudet",4.13,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-02-07,"thierry_baudet",4.22,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-02-08,"thierry_baudet",4.27,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-02-09,"thierry_baudet",4.28,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-02-10,"thierry_baudet",4.46,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-02-11,"thierry_baudet",4.66,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-02-12,"thierry_baudet",5.02,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-02-13,"thierry_baudet",5.14,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-02-14,"thierry_baudet",5.23,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-02-15,"thierry_baudet",5.32,"Thierry Baudet (FvD)","Thierry Baudet (FvD): 111,301 to 117,436 (+6%)"
2021-01-01,"jesseklaver",0,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-02,"jesseklaver",-0.1,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-03,"jesseklaver",-0.12,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-04,"jesseklaver",-0.13,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-05,"jesseklaver",-0.09,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-06,"jesseklaver",-0.05,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-07,"jesseklaver",-0.04,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-08,"jesseklaver",-0.01,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-09,"jesseklaver",0.02,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
