name,Not,PVV,FvD,Other,SGP,SP,Denk,Undecided,PvdD,50+,PvdA,GroenLinks,D66,CDA,ChristenUnie,VVD,Gemiddeld
AD,0,14.65798045602606,21.428571428571427,0,16.216216216216218,11.917098445595855,12.5,8.70307167235495,7.352941176470589,7.142857142857142,9.395973154362416,7.086614173228346,12.149532710280374,14.893617021276595,12.222222222222221,17.326732673267326,11.899791231732777
Apple News,0,0,5.357142857142857,3.571428571428571,2.7027027027027026,1.0362694300518136,12.5,0.6825938566552902,0,0,1.342281879194631,0.7874015748031495,0.9345794392523363,1.4184397163120568,3.3333333333333335,1.2376237623762376,1.1273486430062631
Google News,4.545454545454546,4.5602605863192185,12.5,10.714285714285714,2.7027027027027026,4.145077720207254,0,4.436860068259386,2.941176470588235,9.523809523809524,3.3557046979865772,7.086614173228346,2.803738317757009,3.546099290780142,2.2222222222222223,5.9405940594059405,4.801670146137787
NOS,4.545454545454546,15.309446254071663,30.357142857142854,21.428571428571427,29.72972972972973,21.761658031088082,31.25,18.600682593856654,16.176470588235293,14.285714285714285,30.201342281879196,36.22047244094488,24.299065420560748,23.404255319148938,30,28.217821782178216,22.839248434237998
NRC,0,1.6286644951140066,1.7857142857142856,3.571428571428571,0,2.072538860103627,12.5,1.023890784982935,1.4705882352941175,2.380952380952381,2.013422818791946,3.149606299212598,2.803738317757009,2.8368794326241136,3.3333333333333335,1.7326732673267329,1.8789144050104383
Nu,6.8181818181818175,17.58957654723127,21.428571428571427,14.285714285714285,21.62162162162162,18.134715025906736,31.25,19.965870307167236,19.11764705882353,14.285714285714285,24.161073825503358,29.92125984251969,16.822429906542055,17.73049645390071,23.333333333333332,28.71287128712871,21.336116910229645
Telegraaf,6.8181818181818175,14.983713355048861,12.5,17.857142857142858,10.81081081081081,9.844559585492227,31.25,6.313993174061433,0,7.142857142857142,8.724832214765101,3.937007874015748,9.345794392523365,12.056737588652481,6.666666666666667,11.881188118811881,9.519832985386222
Teletekst,2.272727272727273,7.491856677524431,8.928571428571429,14.285714285714285,2.7027027027027026,5.699481865284974,12.5,5.631399317406143,5.88235294117647,4.761904761904762,10.06711409395973,5.511811023622047,6.5420560747663545,9.219858156028367,5.555555555555555,7.673267326732673,6.8475991649269305
Volkskrant,0,2.2801302931596092,5.357142857142857,14.285714285714285,5.405405405405405,5.181347150259067,12.5,2.3890784982935154,2.941176470588235,2.380952380952381,6.7114093959731544,7.874015748031496,3.7383177570093453,2.127659574468085,3.3333333333333335,2.4752475247524752,3.549060542797495
News aggregator like feedly or flipboard,0,0.9771986970684038,0,0,2.7027027027027026,0,12.5,0.3412969283276451,0,0,0.6711409395973155,0,0,0,0,0.24752475247524752,0.41753653444676403
