name,Not,Other,PVV,FvD,SGP,SP,Denk,Undecided,PvdD,50+,PvdA,GroenLinks,D66,CDA,ChristenUnie,VVD,Average
Blendle.com,0,3.571428571428571,0.32573289902280134,10.714285714285714,2.7027027027027026,1.0362694300518136,18.75,0.6825938566552902,0,4.761904761904762,2.013422818791946,5.511811023622047,1.8691588785046727,2.127659574468085,0,1.2376237623762376,1.6701461377870561
Decorrespondent.nl,0,7.142857142857142,0.9771986970684038,3.571428571428571,0,1.0362694300518136,12.5,0.5119453924914675,5.88235294117647,4.761904761904762,6.0402684563758395,7.086614173228346,0.9345794392523363,2.127659574468085,2.2222222222222223,1.9801980198019802,2.1711899791231732
Geenstijl.nl,0,3.571428571428571,8.794788273615636,16.071428571428573,5.405405405405405,3.1088082901554404,6.25,1.877133105802048,1.4705882352941175,7.142857142857142,1.342281879194631,2.3622047244094486,0.9345794392523363,3.546099290780142,3.3333333333333335,4.702970297029703,3.924843423799582
GoogleNews,4.545454545454546,3.571428571428571,9.446254071661238,12.5,16.216216216216218,6.7357512953367875,12.5,4.948805460750854,4.411764705882353,9.523809523809524,8.053691275167784,9.448818897637794,9.345794392523365,8.51063829787234,10,6.9306930693069315,7.473903966597077
Joop.nl,0,0,1.3029315960912053,0,2.7027027027027026,3.6269430051813467,6.25,0.5119453924914675,2.941176470588235,0,1.342281879194631,3.149606299212598,1.8691588785046727,0.7092198581560284,0,0.7425742574257426,1.2526096033402923
Nu.nl,25,28.57142857142857,43.32247557003257,46.42857142857143,62.16216216216216,44.559585492227974,43.75,47.269624573378834,41.17647058823529,35.714285714285715,49.664429530201346,56.69291338582677,51.4018691588785,51.06382978723404,51.11111111111111,50.24752475247525,47.4321503131524
"Political blogs, namely:",2.272727272727273,3.571428571428571,0.6514657980456027,0,0,1.0362694300518136,0,0.8532423208191127,1.4705882352941175,2.380952380952381,2.684563758389262,0.7874015748031495,0,1.4184397163120568,0,0.49504950495049505,0.918580375782881
Tpo.nl,0,3.571428571428571,1.9543973941368076,5.357142857142857,0,0.5181347150259068,6.25,0.6825938566552902,0,0,0,0.7874015748031495,0.9345794392523363,1.4184397163120568,0,0.49504950495049505,0.918580375782881
