name,Not,PVV,FvD,Other,SGP,SP,Denk,Undecided,PvdD,50+,PvdA,GroenLinks,D66,CDA,ChristenUnie,VVD,Gemiddeld
A regional or local newspaper,9.090909090909092,17.91530944625407,10.714285714285714,7.142857142857142,16.216216216216218,20.72538860103627,18.75,14.675767918088736,17.647058823529413,19.047619047619047,18.120805369127517,15.748031496062993,17.75700934579439,41.843971631205676,21.11111111111111,19.05940594059406,18.496868475991647
Algemeen Dagblad (AD),0,18.241042345276874,28.57142857142857,25,37.83783783783784,19.170984455958546,31.25,16.38225255972696,22.058823529411764,19.047619047619047,16.10738255033557,19.68503937007874,20.5607476635514,22.69503546099291,25.555555555555554,24.504950495049506,20
De Groene Amsterdammer,0,0.32573289902280134,0,0,0,1.0362694300518136,0,0.5119453924914675,1.4705882352941175,0,3.3557046979865772,4.724409448818897,1.8691588785046727,0.7092198581560284,2.2222222222222223,0.49504950495049505,1.0438413361169103
de Telegraaf,6.8181818181818175,29.31596091205212,32.142857142857146,25,16.216216216216218,13.471502590673575,37.5,13.48122866894198,11.76470588235294,23.809523809523807,14.093959731543624,8.661417322834646,14.953271028037381,26.24113475177305,16.666666666666664,24.752475247524753,18.91440501043841
de Volkskrant,2.272727272727273,7.166123778501629,10.714285714285714,14.285714285714285,8.108108108108109,8.808290155440414,18.75,6.825938566552901,7.352941176470589,2.380952380952381,20.80536912751678,25.196850393700785,15.887850467289718,7.801418439716312,8.88888888888889,9.405940594059405,9.979123173277662
Elsevier,0,1.9543973941368076,1.7857142857142856,7.142857142857142,0,2.072538860103627,0,0.6825938566552902,0,2.380952380952381,1.342281879194631,0,0.9345794392523363,1.4184397163120568,1.1111111111111112,1.7326732673267329,1.2943632567849688
HP/de Tijd,0,0.32573289902280134,3.571428571428571,3.571428571428571,2.7027027027027026,2.5906735751295336,6.25,0.3412969283276451,1.4705882352941175,0,0,1.574803149606299,1.8691588785046727,0.7092198581560284,1.1111111111111112,0.7425742574257426,0.9603340292275574
Metro,0,3.5830618892508146,1.7857142857142856,0,0,3.6269430051813467,18.75,2.04778156996587,1.4705882352941175,0,2.684563758389262,4.724409448818897,0,2.127659574468085,3.3333333333333335,2.4752475247524752,2.546972860125261
NRC Handelsblad,0,2.6058631921824107,7.142857142857142,3.571428571428571,2.7027027027027026,4.145077720207254,18.75,3.242320819112628,4.411764705882353,2.380952380952381,6.0402684563758395,12.598425196850393,8.411214953271028,4.964539007092199,4.444444444444445,5.445544554455446,4.801670146137787
Nrc.Next,0,1.6286644951140066,7.142857142857142,0,0,2.072538860103627,12.5,2.5597269624573378,4.411764705882353,4.761904761904762,3.3557046979865772,3.149606299212598,0,2.127659574468085,2.2222222222222223,1.7326732673267329,2.338204592901879
Trouw,2.272727272727273,4.5602605863192185,5.357142857142857,14.285714285714285,5.405405405405405,3.1088082901554404,18.75,3.754266211604096,5.88235294117647,7.142857142857142,10.738255033557047,11.811023622047244,3.7383177570093453,7.801418439716312,13.333333333333334,5.198019801980198,5.887265135699374
Vrij Nederland,0,0.6514657980456027,0,0,0,1.0362694300518136,0,0.6825938566552902,0,0,0.6711409395973155,3.149606299212598,0.9345794392523363,1.4184397163120568,0,0.49504950495049505,0.7515657620041754
