name,Not,PVV,FvD,Other,SGP,SP,Denk,Undecided,PvdD,50+,PvdA,GroenLinks,D66,CDA,ChristenUnie,VVD,Gemiddeld
Bedrijfsleven,3.125,4.156976744186046,4.15,4.717391304347826,4.333333333333333,3.990740740740741,4.8,4.5663811563169165,4.2368421052631575,4.95,4.338582677165355,4.303571428571429,4.593406593406593,5.308695652173913,5.0675675675675675,5.466257668711656,4.607034412955466
Democratie,2.9722222222222223,3.8410852713178296,4.28,5.217391304347826,5.575757575757576,5.469135802469136,5.066666666666666,5.638115631691649,5.543859649122807,5.2,6.480314960629921,6.696428571428571,6.758241758241758,6.643478260869565,6.648648648648648,7,5.773785425101215
Journalistiek,3.3333333333333335,3.996124031007752,3.38,5,3.242424242424242,5.561728395061729,4.533333333333333,4.991434689507495,5.280701754385965,5.366666666666666,6.149606299212598,6.366071428571429,5.978021978021978,5.730434782608696,5.797297297297297,5.785276073619632,5.220647773279352
Politiek,2.661111111111111,3.1697674418604653,3.284,3.9043478260869566,4.5212121212121215,4.412345679012346,4.906666666666666,4.787580299785867,4.863157894736842,5.06,5.491338582677165,5.7875,5.762637362637363,5.735652173913043,5.824324324324325,6.147852760736196,4.926518218623482
Rechtspraak,3.4166666666666665,4.1976744186046515,4.76,5,5.787878787878788,5.666666666666667,5.8,5.937901498929336,5.87719298245614,5.8,6.874015748031496,6.794642857142857,6.956043956043956,6.71304347826087,6.9324324324324325,6.803680981595092,5.975202429149798
Wetenschap,4.861111111111111,5.961240310077519,5.78,6.695652173913044,5.0606060606060606,7.030864197530864,6.333333333333333,6.7537473233404715,6.982456140350878,6.633333333333334,7.582677165354331,8.026785714285714,7.758241758241758,7.069565217391304,6.905405405405405,7.576687116564417,6.918016194331984
