name,Not,PVV,FvD,Other,SGP,SP,Denk,Undecided,PvdD,50+,PvdA,GroenLinks,D66,CDA,ChristenUnie,VVD,Gemiddeld
0,27.77777777777778,14.34108527131783,10,4.3478260869565215,3.0303030303030303,3.0864197530864197,13.333333333333334,4.068522483940043,1.7543859649122806,3.3333333333333335,1.574803149606299,0.8928571428571428,1.098901098901099,0,1.3513513513513513,0,4.402834008097166
1,13.88888888888889,11.24031007751938,12,4.3478260869565215,12.121212121212121,3.7037037037037033,0,2.569593147751606,3.508771929824561,13.333333333333334,0,0.8928571428571428,0,1.7391304347826086,0,0.9202453987730062,3.7955465587044532
2,8.333333333333332,6.5891472868217065,8,8.695652173913043,0,6.172839506172839,6.666666666666667,4.282655246252676,5.263157894736842,3.3333333333333335,5.511811023622047,0.8928571428571428,1.098901098901099,1.7391304347826086,1.3513513513513513,0.9202453987730062,3.8461538461538463
3,5.555555555555555,11.627906976744185,6,0,6.0606060606060606,6.172839506172839,13.333333333333334,6.852248394004283,8.771929824561402,3.3333333333333335,3.149606299212598,4.464285714285714,5.4945054945054945,4.3478260869565215,4.054054054054054,1.5337423312883436,5.769230769230769
4,16.666666666666664,12.015503875968992,12,13.043478260869565,6.0606060606060606,7.4074074074074066,6.666666666666667,7.28051391862955,7.017543859649122,6.666666666666667,3.149606299212598,6.25,4.395604395604396,6.086956521739131,4.054054054054054,2.7607361963190185,6.831983805668017
5,8.333333333333332,16.27906976744186,20,17.391304347826086,15.151515151515152,18.51851851851852,0,17.987152034261243,21.052631578947366,16.666666666666664,13.385826771653544,8.035714285714286,8.791208791208792,11.304347826086957,10.81081081081081,11.65644171779141,14.5748987854251
6,2.7777777777777777,12.790697674418606,10,21.73913043478261,9.090909090909092,19.1358024691358,20,15.417558886509635,17.543859649122805,20,15.748031496062993,11.607142857142858,14.285714285714285,15.65217391304348,20.27027027027027,15.644171779141105,15.131578947368421
7,8.333333333333332,7.3643410852713185,4,13.043478260869565,18.181818181818183,19.1358024691358,20,21.841541755888652,14.035087719298245,16.666666666666664,22.04724409448819,32.142857142857146,26.373626373626376,20.869565217391305,27.027027027027028,23.92638036809816,19.838056680161944
8,8.333333333333332,4.263565891472868,16,17.391304347826086,27.27272727272727,9.876543209876543,13.333333333333334,12.633832976445397,15.789473684210526,6.666666666666667,22.04724409448819,23.214285714285715,23.076923076923077,22.608695652173914,14.864864864864865,26.993865030674847,16.346153846153847
9,0,1.937984496124031,2,0,3.0303030303030303,5.555555555555555,6.666666666666667,4.068522483940043,1.7543859649122806,10,11.023622047244094,8.035714285714286,13.186813186813188,12.173913043478262,12.162162162162163,10.429447852760736,6.680161943319838
10,0,1.550387596899225,0,0,0,1.2345679012345678,0,2.9978586723768736,3.508771929824561,0,2.3622047244094486,3.571428571428571,2.197802197802198,3.4782608695652173,4.054054054054054,5.214723926380368,2.783400809716599
